# file=01.mp4
# language=zh prob=1
[6.8-9.2] 大家好,我是郭尚昌特顾王老师
[302.0-305.7] 那么这个慢线它就把这个快线平滑掉
[305.7-307.8] 就是减小短期的一个波动
[307.8-310.7] 更好的去指示一个长期趋势
[310.7-311.7] 一个趋势
[311.7-313.8] 它波动是比较小的
[313.8-316.9] 然后这个第三个组成部分
[316.9-319.1] 就是macd的一个柱状图
[319.1-322.8] 然后它是dif线和daa线的插直
[322.8-325.0] 就是这两个线看到没
[325.0-327.4] 这个快线和这个慢线
[327.4-329.6] 它的插直形成这一样一个柱子
[329.6-333.9] 有的是正值是一个红柱
[333.9-335.9] 那么负值的话就是一个锐柱
[335.9-338.4] 也比较明显
[338.4-341.0] 可以直观的用柱状图的方式
[341.0-344.5] 然后来展示这个多空力量的对比
[344.5-347.2] 那红色显然是一个上涨的趋势
[347.2-347.7] 上涨的趋势
[347.7-351.0] 那么锐柱显然是一个下降的趋势
[351.0-354.6] 这和其他的大多数指标是类似的
[354.6-356.9] 这个是它的构成
[356.9-359.1] 有这种三种三个要素
[359.6-368.9] 那么第一种用法就是它的一个零走分析
[368.9-372.0] 当DIF线就是一个快线
[372.0-375.3] 快线和DAA线慢线均大于零的时候
[375.3-378.1] 那么是处于零线以上时
[378.1-380.9] 行情是处于一个多头行情
[380.9-382.7] 比如说这里
[382.7-384.0] 从这里开始
[384.0-385.5] 从这里开始
[385.5-387.6] 那么开始逐渐的都在上面
[387.6-388.4] 一直在上面
[388.4-390.1] 其实能够一直延续到这里
[390.1-391.2] 延续到这里
[391.2-392.7] 一直是一个多头趋势
[392.7-394.1] 多头的一个趋势
[394.1-396.1] 那么当DIF线和DA线
[396.1-397.5] 举小一零的时候
[397.5-398.7] 举小一零
[398.7-400.7] 那么处于零线以下的时候
[400.7-401.5] 也就这里
[401.5-403.5] 处于这个零线以下
[403.5-404.9] 当然这个时间比较短
[404.9-406.3] 后面这是比较明显的
[406.3-408.5] 这里都处于零线以下的时候
[408.5-410.5] 那么这里就会形成一个
[410.5-412.7] 处于一个空头的一个行情
[412.7-415.1] 这个是零轴的一个作用
[415.1-417.7] 有一些软件编织的指标
[417.7-419.7] 就是以这个零轴作为分析
[419.7-422.5] 分析长期趋势和短期趋势的
[422.5-439.0] 我们看第一种,第一种在这个临州以上,这是一个案例,这是那个新医生,新医生,也是从这个二五年五月份开始的,开始的。
[440.0-448.0] 那么在临州以上是据处分析中多头趋势占据主导的一个核心判定信号。
[449.0-455.0] 那么首先我们看啊,就是看临州什么什么时候开始在临州以上,那这边一直在临州以下,这里。
[456.0-458.6] 一的下面从这里开始五月份开始
[458.6-459.6] 就是我们这个
[460.0-460.6] 啊
[461.0-462.2] 箭头这里开始
[462.6-464.2] 那么开始处于上面啊
[464.2-465.4] 处于这个上方
[466.0-466.4] 啊
[466.9-469.0] 在上方的那么这个就是一个多头趋势
[469.0-470.8] 一直在一直维持在上方啊
[470.8-471.4] 也就是说
[471.6-473.1] 他一直维持上方的时候
[473.1-475.7] 那么你可以判他一直是一个多头趋势
[476.0-477.0] 如果说你在这里
[477.3-478.1] 有吃仓
[478.4-480.3] 那么你就不用太着急啊
[480.3-480.9] 你可以
[481.3-483.7] 吃仓代掌啊一直等等啊
[483.7-485.0] 你可以等到啊
[485.0-487.3] 可以等到它趋势结束
[487.3-489.1] 那么这个是从5月份开始
[489.1-489.9] 一直在上方
[489.9-493.3] 然后一直到10月份开始
[493.3-496.4] 才开始逐渐的产生分歧了
[496.4-497.8] 这里产生分歧
[497.8-499.4] 那么如果你持有这个的话
[499.4-501.0] 那么如果你用这个指标
[501.0-503.9] 用这样的方式方法
[503.9-509.3] 可以做到这波趋势
[509.3-511.6] 这个是临走的用法
[511.6-513.8] 它代表中长期做多
[513.8-515.3] 做多占主要
[516.5-519.3] 然后也意味着当年市场交易基调是逢地布局
[519.3-521.7] 一旦说这个MCD的上方
[521.7-523.2] 那么你结合刚才讲的
[523.2-524.5] 比如说一些回调指标
[524.5-527.2] 比如说上一节讲的这个军线
[527.2-529.6] 军线触碰到军线了
[529.6-531.4] 这里显然就是一个买点
[531.4-533.3] 在趋势向上的时候
[533.3-536.6] 去寻找一个回调的一个买点
[537.9-540.2] 当然这个是这里也有
[540.2-541.2] 这里也触发了
[541.2-543.5] 这个是还是二十均线啊
[543.5-544.8] 二十均线有效果
[544.8-547.7] 那这里也是从这个二百七啊
[547.7-550.7] 二这边应该是三百啊
[550.7-553.2] 三百到四百啊
[553.2-554.9] 这边也是一个买点啊
[554.9-557.6] 这个是作为趋势啊
[557.6-560.3] 作为趋势分析的一个作用啊
[560.3-562.1] 那这是一个向上趋势
[562.1-563.7] 那么还有这种啊
[563.7-565.5] 这种是向下趋势啊
[565.5-566.9] 就是凌州下方啊
[566.9-568.0] 在凌州下方
[568.0-570.3] 凌州下方的话意味着
[570.3-577.2] 市场平均做多 力度逐渐的 始终低于中 中长期 资金入场 成绩的意愿比较弱啊
[577.2-578.5] 就是在这种啊
[579.0-585.4] 涨的比较多了啊 整个资金入场意愿是比较弱的 开始逐渐的开始走这种啊 走反转
[587.1-590.9] 然后麦牙施放成为价格运行的一个主要的一个驱动力 就是
[591.4-597.9] 麦芳开始逐渐占主导啊 麦芳占主导啊 临州下方形成一个死差状态啊 就是在这里
[597.9-599.5] 把一直行动死他状态
[601.0-603.0] 而是延续这个啊
[603.0-604.2] 延续核心信号啊
[604.2-606.5] 零周下方死差可以做啊
[606.5-608.5] 二次下跌比如说这种啊
[608.5-611.4] 首先我们看他什么时候
[611.4-613.5] 零周开始在零周以下啊
[613.5-615.4] 这里这里开始零周以下啊
[615.4-616.2] 当然这个
[616.2-618.0] 如果以这里作为判断的话
[618.0-621.6] 那么这个可能就是会损失掉一部分啊
[621.6-622.9] 你这个如果指营的话
[622.9-624.7] 可能你要在这里指营啊
[624.7-625.9] 如果拿到他的话
[625.9-626.9] 那会损失掉一部分
[626.9-629.2] 这个也是指标的一个劣势
[629.2-632.5] 就所有这种趋势性的指标
[632.5-637.0] 那都会过滤掉一部分的一个利润
[637.0-640.4] 或者说有一件有一定之后性
[640.4-641.6] 那么之后啊
[641.6-643.0] 从这里开始
[643.0-647.0] 一个空头趋势形成一直延续到
[647.0-648.1] 这边是6月份
[648.1-652.2] 大概是25年的25年6月份
[652.2-654.9] 但这里还是有能够有一波有一波
[654.9-658.2] 整个规避掉规避掉一波下跌趋势
[658.2-660.1] 那这里开始逐渐走
[660.1-661.2] 走粘合了啊
[661.2-662.7] 开始走平了
[662.7-664.8] 那这里可能就是啊
[664.8-667.2] 长期的一个注底的一个区间啊
[667.2-668.9] 这个是啊
[668.9-675.3] 在零肉以下
[675.3-677.3] 那接下来我们看这个注壮图分析啊
[678.5-679.3] 注壮图的话
[679.3-682.2] 就是mcd是由这个啊
[682.2-683.8] 复辨证啊
[683.8-684.5] 比如说
[685.6-686.3] 这里啊
[686.3-687.8] 这里是由复辨证
[687.8-689.6] 由复辨证啊
[689.6-693.0] 这个的话 铸状头是由类转红
[693.0-695.2] 市场是空头转为多头
[695.2-698.0] 然后MCD是变成正直
[698.0-702.1] 这种情况出发 在这里
[702.1-706.2] 那么它就会形成一个多头的一个趋势
[706.2-712.7] 这是铸状头的一个分析
[712.7-715.4] 然后接下来我们就看这个金叉死叉
[715.4-717.0] 这个是用的比较多的
[717.0-720.7] 当然金叉死叉尽量是用在小周期分析
[720.7-722.8] 就是你在日线上也可以应用
[722.8-724.8] 但是它是有一定智候性
[724.8-727.2] 尤其一些波动性比较大的
[727.2-729.3] 比如说可能当天涨停
[729.3-732.2] 或者20厘米涨停这种波动比较大的品种
[732.2-734.7] 可能会有一定智候性
[734.7-736.0] 但是你如果放在小周期
[736.0-739.2] 比如说你放在60分钟或者15分钟
[739.2-740.4] 军线上面
[740.4-741.8] 这个K线上面
[741.8-743.5] 它可能就比较有效
[743.5-745.0] 那么金汤和死差
[745.0-746.6] 也就是说这个快线
[746.6-750.0] DIF线向上突破
[750.0-751.6] 向上突破DA就形成金叉
[751.6-755.3] 那么这里显然是在下方
[755.3-757.2] 经常是在下方形成的下方
[758.2-759.7] 快线向上突破
[759.7-760.8] 突破这个慢线
[760.8-762.2] 这里就形成一个经常
[762.2-766.3] 那这里就是一个可以参照的一个买点
[766.3-767.7] 一个买入信号
[767.7-771.0] 然后DIF游上向下突破
[771.0-775.2] 那么这里确定的一个向下突破
[775.2-776.7] 当然前面有一个假突破
[779.7-781.6] 那这里是一个明确的一个突破
[781.6-784.3] 而且是两个开始发散 开始发散
[784.3-788.9] 这里 这里显然就是一个卖出的一个信号
[788.9-791.0] 可以作为一个卖出的一个参考
[791.0-794.7] 这是一个经查死差的一个作用
[794.7-797.7] 那么看一下这个案例
[797.7-801.1] 经查死差的一个案例
[801.1-803.5] 当经查出现在临州下方深度区域
[803.5-805.8] 就是一定是要超卖
[805.8-807.4] 这种的话是抓拐点的
[807.4-809.0] 那么一定是要超卖
[809.0-812.9] 比如这个经过了一段时间的一个下跌
[812.9-819.3] 幅度越大越好越大的话这个金差这个柱子越越高越高越好
[820.5-824.7] 一线啊这个内线越高越低越好 然后红柱越高越好越有效
[825.5-829.0] 啊 处于这个超卖区 这边显然处于超卖区 80-60
[829.5-833.5] 处于超卖区 这个是这个青岛啤酒的一个案例
[834.6-837.3] 那这里显然是有一些超卖了啊
[837.9-842.3] 那么因为青岛啤酒本身也是有这个基本面啊 这边比较好的一家公司
[842.9-850.1] 那此前啊都是在这个零落以下运行你看他这个都是在下方运行啊然后开始逐渐的
[850.9-856.2] 逐渐的形成这样的一个拐点啊有的时候伴随底背离啊有的时候有被底背离那么这个
[856.8-861.9] 听到啤酒就有底背离这里是出发了一个底背离啊背离的话是一会儿再讲啊
[863.3-867.1] 然后做空动能逐渐消耗和做多资金开始进场
[867.1-873.1] 这里大家觉得可能也能够从这k线上也能看得出来这边开始走缓啊
[873.1-875.1] k线开始有一定反弹了
[875.1-877.1] 这边反弹率还是比较大的啊
[877.1-881.1] 然后又又重新的啊重新的啊下跌
[881.1-888.6] 然后这个死差的话啊死差就是跟跟这个警察相反啊
[888.6-893.6] 警察这里啊想这里就出发了警察啊就是在这里这里出发的警察啊
[893.6-895.4] 它的警察也是有的智候性
[895.4-899.1] 但相对来说比军线的智候性要小一些
[899.6-901.9] 然后这里又第二次出发警察
[901.9-903.8] 这里又第二次出发警察
[903.8-906.7] 而且行程背离这种的话就是会更加有效
[906.7-909.4] 就是多个指标去结合的话会更有效
[910.4-914.2] 之后又是一个一波的一个很明显的一个上升趋势
[914.9-919.1] 这边那么这里面也是存在死差的
[920.9-922.3] 死差跟警察相反
[922.3-926.7] DF线都在零落以上
[926.7-929.8] 你看这边都在这个上方运行的运行比较久
[929.8-931.4] 而且上岛幅度也是比较高
[931.4-933.5] 就是上岛幅度一定要有
[933.5-936.7] 然后才会形成卖牙才能形成一个拐点
[938.4-940.3] 然后半岁股价创新高之后
[940.3-941.6] 然后有的时候形成背离
[941.6-942.7] 有的时候没有背离
[942.7-943.9] 那这一次的话
[943.9-945.1] 其实是没有背离的
[945.1-947.7] 直接是一个死差
[947.7-948.8] 直接形成一个死差
[948.8-950.0] 这边是没有背离
[950.0-954.6] 然后死差是中级区市由多头转空头的一个反转信号
[954.6-957.7] 代表市场做多动能逐渐消失
[958.0-959.5] 那做空资金开始离
[959.7-960.8] 做空资金
[962.3-963.1] 开始离场
[963.3-966.7] 然后这个也是一个指营的一个指营之损的一个核心信号
[966.9-967.4] 这个是
[967.9-969.0] 那这里显然
[969.5-972.0] 之前一直没有啊你看这个快线一直在
[972.3-973.3] 这个慢线上方
[973.6-974.3] 然后在这里
[974.9-976.6] 这里是触发了一个一个死差
[976.9-978.7] 大概4月中在这里
[978.7-980.7] 这里是出发了一个死差
[980.7-981.7] 有一定制后性
[981.7-983.7] 但是趋势其实已经形成了
[983.7-985.7] 就是这种趋势
[985.7-986.7] 上涨过多了
[986.7-988.7] 然后趋势开始下下
[988.7-989.7] 形成死差
[989.7-992.7] 这种的话就是会是一个卖点
[992.7-994.7] 也是一个指引点
[994.7-996.7] 如果你把金差死差
[996.7-998.7] 英文上面其实可以做
[998.7-1000.7] 这边是一个死差形成
[1000.7-1002.7] 这里可以卖掉
[1002.7-1004.7] 然后这里是一个金差形成
[1004.7-1006.7] 这边可以买入
[1006.7-1009.5] 然后到这边又是一个死产形成
[1010.5-1012.3] 这里可以卖掉
[1013.1-1014.1] 这个是这个
[1014.4-1016.4] 监察死产的一个作用
[1022.1-1025.7] 那顶背离和底背离这个项目来说会比刚才讲的
[1026.0-1027.3] 要复杂一些啊
[1027.5-1029.6] 比如当背离的话就是
[1029.8-1031.4] 当价格创造出新高
[1031.6-1036.7] MCD线或者注壮图没有创造新高形成一个背离
[1037.0-1039.3] 预示的上涨动能的一个减弱
[1039.3-1042.7] 可能会反转 转为下跌
[1042.7-1044.4] 然后这个顶背离呢
[1044.4-1047.0] 只发生在零周上 这要注意有前提
[1047.0-1048.4] 就是它一定是在上方
[1048.4-1050.9] 尽管价格扔在上脑
[1050.9-1053.6] 但是多头的力量正逐渐衰竭
[1053.6-1057.5] 这个是底背离的话
[1057.5-1058.8] 跟顶背离是相反的
[1058.8-1060.4] 当价格创出新低之后
[1060.4-1061.4] 然后MCD
[1061.4-1063.3] MCD并没有创出新低
[1063.3-1065.0] 然后出现了一个底背离
[1065.0-1067.0] 于是下跌动能的减弱
[1067.0-1068.8] 刚好是相反的
[1068.8-1073.0] 然后可能会反转 反转转为上涨
[1074.6-1082.6] 那底背离的话是指发生在零中下方啊 这个是一个做多型号啊 尽管价格扔在下跌 但是空头力量啊 已经减弱了
[1083.0-1089.4] 这个是顶背离和底背离 接下来我们看这个案例啊 这个的话 大家多注意一下啊 这个
[1090.1-1096.5] 它是一个触发比较高 而且是比较有效的啊 就是它能够让你抓到这个
[1096.5-1100.1] 出发点啊出发点可以
[1100.1-1101.4] 它是一个拐点啊
[1101.4-1102.8] 它是一个很好的拐点
[1102.8-1106.2] 就是它能够吃到最大的利润啊
[1106.2-1107.2] 的指引啊
[1107.2-1109.0] 或者说这个抄底的时候啊
[1109.0-1111.5] 能够让你吃到一整一整波啊
[1111.5-1112.4] 这种啊
[1112.4-1113.9] 以后如果有出发的话
[1113.9-1115.0] 大家都去注意一下
[1116.4-1118.3] 那么它的一个啊
[1119.6-1122.5] 核心的核心就是这边是mcd啊
[1122.5-1123.8] 看到这边是mcd
[1123.8-1124.7] 形成一个高点
[1125.5-1127.4] 股价随之也形成一个高点
[1127.7-1128.8] 然后之后运行
[1128.8-1130.6] 当然这一定要是在零周上方
[1130.6-1131.8] 一定要零周上方
[1132.3-1134.3] 然后MCD线逐渐走低了
[1134.3-1135.5] 开始向下走了
[1135.8-1136.4] 向下走
[1136.6-1138.1] 但是股价并没有
[1138.1-1139.8] 股价是回调之后
[1139.8-1141.2] 又慢慢的涨上来了
[1142.0-1144.4] 形成这样的一个相反的走向
[1145.4-1147.0] 这边MCD向下走
[1147.2-1150.2] 然后股价逐渐的起稳之后又向上走
[1150.2-1152.1] 形成这样的一个偏差
[1152.1-1156.6] 那么出发的点啊就是在这里出发的前面高点这里
[1158.0-1164.2] 出发到这高点之后啊就是这里它就是一个很好的一个卖点啊这种是一个出发点啊
[1164.2-1170.8] 当然这种都交易的时候一定要设置好止损啊有些时候会有这种失效啊有失效
[1171.8-1174.3] 那么这种你是能够吃到呃
[1175.1-1182.0] 有些时候能够吃到最高点或者能够吃到最低点的啊这种是啊做起来能够很大的增加信心啊
[1182.1-1184.1] 那这里显然是出发了
[1184.1-1186.7] 而且他是其实这边是有一个压力线的啊
[1186.7-1188.1] 后面会给大家讲
[1188.1-1189.3] 他是一个组合指标
[1189.3-1191.7] 所以他的作用会比较强啊
[1191.7-1193.3] 于是mcd啊mcd
[1193.3-1195.5] 然后另外的其实他也是有一个
[1195.5-1197.3] 前面已经发生了mcd死差
[1197.3-1199.5] 这边已经有一定记下了
[1199.5-1201.5] 然后mcd向下再向零楼转
[1201.5-1203.3] 这个趋势也在也在向下转
[1204.3-1204.5] 啊
[1204.5-1208.1] 然后这个股价又出了这个出击的压力啊
[1208.1-1210.3] 所以说他的有效性是比较高的
[1210.3-1213.6] 大家在以后出现这种情况的时候
[1213.6-1214.9] 出现背离的时候
[1214.9-1216.5] MCT向下走
[1216.5-1217.7] 然后股价向上走
[1217.7-1220.8] 形成这样的一个相反的走势
[1221.6-1222.5] 相反的走势
[1222.5-1226.0] 那么可以作为卖出的一个参考店
[1228.2-1231.7] 尤其是顶背力和底背离
[1231.7-1232.9] 作为中长期
[1232.9-1233.6] 就是日线
[1233.6-1235.6] 尽量用日线
[1235.6-1237.1] 尽量做日线的
[1237.1-1239.1] 周线显然对咱们来讲
[1239.1-1240.7] 可能周期过于长了
[1240.7-1244.3] 那尽量用日线啊这个是国帮医药的啊
[1244.3-1244.9] 一个日线
[1246.9-1249.3] 尽量日线去做交易啊
[1249.3-1252.7] 然后核心作用是确认股价中期的一个顶部啊
[1252.7-1254.1] 这种是可以逃顶的
[1254.1-1255.3] 如果做好的话
[1255.3-1256.7] 是可以逃顶的啊
[1256.7-1257.4] 顶部成立
[1257.4-1259.1] 然后多次背离啊
[1259.1-1260.2] 背离多次啊
[1262.1-1264.8] 然后他的信号强度远大于单次背离啊
[1264.8-1266.3] 但这种情况比较少啊
[1266.3-1268.7] 比如说这边其实也算是啊
[1268.7-1270.5] 这边其实穿过零桌之后啊
[1270.5-1272.1] 就已经消失掉了
[1272.1-1275.5] 大多数都是都是这个一次倍率啊
[1275.5-1277.0] 都是一次倍率啊
[1277.0-1278.3] 很少有这个啊
[1278.3-1279.4] 两次啊
[1279.4-1283.2] 两次三次的其实是比较少见啊
[1283.2-1285.5] 当然如果有两次三次的倍率啊
[1285.5-1287.2] 也可以作为参照啊
[1287.2-1289.2] 这种强度会更高一些啊
[1289.2-1291.5] 这个是啊
[1291.5-1293.1] mc顶倍率和底倍率
[1293.1-1294.1] 这个啊
[1294.1-1296.1] 着重的大家去记一下啊
[1296.1-1297.4] 这个是啊
[1297.4-1299.1] 能够逃顶能够超底
[1299.1-1299.8] 这是顶倍率
[1299.8-1300.6] 那么看这个
[1302.0-1306.5] 再来看底背里啊 底背里就是用来做这个超底了啊
[1308.4-1312.9] 那底背里的话就代表多头乘接进一步加强啊 进一步加强
[1315.3-1322.7] 然后市场摩底也出接近尾声 就是这个已经跌了很 跌了很久了啊 这个这个例子是这个山东要波啊
[1323.4-1328.6] 已经跌了很久了 那么有这种反弹的可能性啊 或许反弹的确定性大幅增加
[1328.6-1334.0] 然后相对于等股价拉出大阳线突破信号
[1334.0-1335.3] 形成右侧信号的时候
[1335.3-1337.4] 那么这个可能你的价格就比较好
[1337.4-1338.2] 比较差了
[1338.2-1341.0] 那比如说这边所有多头区域形成
[1341.0-1342.2] 那么这个价格就比较高了
[1342.2-1346.3] 那么显然不是一个很好的一个买点
[1346.3-1348.3] 那MCD的一个底背里能够让交易者
[1348.3-1350.1] 在更低的位置拿到筹码
[1350.1-1351.9] 把我底部区域的一个机会
[1351.9-1356.2] 那么这边是哪里是底背里
[1356.2-1358.7] 我来给大家来演示一下
[1358.7-1362.1] 想像这边啊
[1362.1-1363.3] 这边是一个超卖区域
[1363.3-1364.7] 这边形成一个超卖区域
[1364.7-1365.3] 这个
[1373.2-1374.8] 想像这边是形成一个超卖区域
[1374.8-1376.6] 而且它是经过一个二段下跌
[1376.6-1377.6] 二段下跌
[1377.6-1378.4] 在这里
[1378.6-1380.0] 在这里开始啊
[1380.0-1381.3] 开始有一定反弹了
[1381.3-1382.2] 但这个位置
[1382.2-1383.8] 其实大多数人是把握不到的
[1383.8-1384.2] 这里
[1384.6-1384.8] 啊
[1384.8-1386.5] 因为它一个下大约一线下来
[1386.5-1388.6] 其实很少有人能够感遇超低
[1388.6-1389.5] 如果你对这个
[1389.7-1391.8] 公司的基本面不是特别了解的话
[1392.0-1393.3] 单单从技术面
[1393.6-1396.2] 其实你很很难去把握这个点啊
[1396.2-1398.8] 一般是不太敢抄的在这个位置
[1398.8-1402.1] 那么进来你就看MCD
[1402.1-1404.8] 一个很深的一个MCD
[1404.8-1406.4] MC逐渐在向上走
[1406.4-1407.6] 逐渐在向上走
[1407.6-1410.6] 也就是趋势开始逐渐要开始反转了
[1410.6-1412.4] 从下类趋势要转为上档趋势了
[1412.4-1414.6] 这个趋势是向上的
[1414.6-1415.8] 那股价的话
[1415.8-1417.6] 股价反弹一段时间之后
[1417.6-1419.0] 开始又向下走了
[1419.0-1422.0] 股价开始又跟这个MC走向开始相反了
[1422.0-1423.2] 开始背离了
[1423.2-1425.1] 那么他的出发点
[1425.1-1428.0] 也是在前期低点
[1429.2-1430.7] 前期低点这个位置
[1430.7-1431.5] 这里
[1431.5-1432.3] 这里
[1432.3-1435.2] 一旦出发到这个位置
[1435.2-1437.0] 那么它就会形成一个埋点
[1437.0-1438.1] 在这个位置
[1439.5-1440.5] 在这边出发的
[1440.5-1441.7] 它就形成一个埋点
[1441.7-1443.1] 它其实也是
[1443.1-1444.4] 还是一个组合指标
[1444.4-1445.4] 就是
[1445.4-1447.1] 这边首先它是一个支撑线
[1447.1-1448.2] 后面我们会讲
[1448.2-1448.9] 会讲支撑线
[1448.9-1450.0] 它是一个支撑线
[1450.0-1451.3] 然后这边
[1451.3-1453.0] MSD的趋势向上
[1453.0-1453.9] 趋势向上
[1453.9-1457.2] 其实你看交易量的话 也能看出来 这边交易量在放大
[1457.2-1460.5] 其实是有一些资金在介入的
[1460.5-1464.4] 后边这里 其实是 当然后边这边是一个制后性的
[1464.4-1469.2] 这边其实成交量也是在放大的 这边其实
[1469.2-1473.9] 指标去组合的话 其实是有这种见底的一个一些信号出来的
[1473.9-1478.5] 那么买点的话 就是一个买点的竞争把握
[1478.5-1481.3] 就到出发前面 前面这个位置
[1481.3-1483.8] 也就是这一天刚好出发 其实这里出发
[1485.4-1488.2] 刚好就是近一段时间的一个最低点
[1488.7-1494.6] 由这种 这个底背离 顶背离是能够做到抄底和桃顶的
[1496.6-1499.9] 一旦抄到 能抄最底部 这里出发
[1500.2-1502.8] 显然这个底背离是很有效的 这里是
[1503.0-1504.6] 很有效的底背离 这里出发
[1504.8-1505.6] 然后向上反弹
[1505.8-1509.2] 从20能看到的 这边反弹到23
[1509.2-1513.2] 这边也是压力啊压力啊这个军线是有压力的啊
[1513.2-1517.7] 这个就是一个很好的去逃顶和抄底的一个指标啊
[1517.7-1522.7] 大家以后啊多多去注意啊多多去啊研究这个底背里和顶背里
[1522.7-1527.7] 那这个我觉得是啊应用过程中啊是一个确定性比较高啊
[1527.7-1533.2] 而且是啊触发起来啊大家比较认可的一个指标
[1533.2-1538.9] 那么多次底背里啊也是个机场信号当然这种也是比较少啊
