# file=05.mp4
# language=zh prob=1
[11.7-15.1] 好 各位国城的投资者 朋友们 大家好
[15.1-17.8] 我是国城投言和成兵者
[355.8-361.9] 這樣的一個跡象就會在量價的過程當中就會體現出來
[361.9-364.9] 如果我們能夠準確地知道
[364.9-367.1] 主力的稀酬的階段
[367.1-369.0] 我們就知道了他
[369.0-371.2] 他的一個基本的一個成本所在
[371.2-371.6] 對不對
[371.6-373.2] 他的一個基本成本所在
[373.2-374.9] 那稀完酬以後
[374.9-376.4] 那主力是做什麼呢
[376.4-377.8] 那他不可能說是
[377.8-380.3] 我今天十塊錢買的
[380.3-382.9] 我明天8块钱我在10块钱再卖掉
[382.9-384.7] 这样是不可能的 对不对
[384.7-387.1] 他肯定会要什么去往上拉声 对不对
[387.1-389.7] 肯定会有一个拉声的一个过程
[389.7-393.1] 其实就是这样的一个操作思路
[393.1-396.7] 我们去揣测主力思维的一个过程的时候
[396.7-397.7] 就是这样
[397.7-400.7] 去看他什么时候有主力去介入
[400.7-403.5] 开始他有一个建倡的周期
[403.5-404.7] 建倡完以后
[404.7-407.7] 然后他是什么时候要去做拉声
[407.7-412.5] 这些表现其实都是在量价过程当中是可以体现出来的
[412.5-417.0] 成交量这个东西基本上是不会骗人的
[417.0-420.5] 它能体现出来市场的一个意图
[420.5-422.7] 虽然有可能有人会说
[422.7-425.2] 他们左口袋倒右口袋 对不对
[425.2-427.5] 这样的话也能把成交量拉出来吃的
[427.5-431.0] 但是你想想它这样的拉的一个目的所在是什么
[431.0-434.4] 对不对 它肯定会有自己的一些意图所在
[434.4-437.1] 那这支股票它最终的目的是什么
[437.1-439.5] 他要在这支股票上挣到钱的 对不对
[439.5-442.1] 所以说他的每一个交易
[442.1-444.2] 他的游戏是这种主力
[444.2-446.2] 传大吊头不好吊头嘛
[446.2-450.0] 所以说他的一些行为肯定会留下一些痕迹
[450.0-455.2] 那我们通过三大这个课程的一个学习
[455.2-459.0] 就是要去抓住什么主力的一个思维
[459.0-460.9] 我们去把握他的一个稀仇
[460.9-462.6] 拉升的一个过程
[462.6-465.5] 这是我要给大家
[465.5-469.7] 接下来这几天要讲的这个课程的一个主要的内容
[469.7-471.8] 好 我们先看一下
[476.0-479.0] 我们先看一下 先是这个量价分析
[479.7-483.0] 其实分析这一块呢 我们主要是这几个点
[483.4-488.8] 我这个分析法呢 可能跟大家平时接触的不是不太一样
[489.4-492.6] 主要呢 是一个通过神和形来分析
[493.2-498.6] 我把这个价钱的当作一个形 就是一个所谓的形态
[498.7-500.7] 我把架当成一个形态来看
[501.7-503.7] 架格当成一个形态来看
[506.7-509.7] 然后成交量当成一个神
[509.7-510.7] 这就好比什么
[510.7-513.7] 就好比我们一个人做一个件事情一样
[513.7-514.7] 对不对
[514.7-518.7] 我们所做出的行为是由我们的大脑思维所管控的
[518.7-521.7] 我们的思维是这样邏计是这样排序的
[521.7-523.7] 我们在做事情的当时
[523.7-526.7] 就会按照这样的一个思维邏计去做
[526.7-530.1] 量就相當於我們的一個思維邏輯
[530.1-535.1] 價格就是體現出來的所做的行為
[535.1-537.1] 其實就是這樣的一個道理
[537.1-538.6] 通過量價分析
[538.6-542.5] 然後也就是神型的一個轉變
[542.5-543.9] 我們能看一看
[543.9-546.4] 一支股票
[546.4-549.4] 它的成交量和它的股價
[549.4-551.8] 是一個神型是一個什麼樣的狀態
[551.8-554.3] 當然了最好的狀態是什麼
[554.3-556.8] 我是怎麼想的就去怎麼做
[556.8-560.0] 這是最為神刑合衣
[560.0-561.9] 這是最好的一種狀態
[561.9-564.3] 還有有一種有些人的可能
[564.3-568.8] 比較換散 注意力不積充
[568.8-570.4] 他的做事過程當中
[570.4-571.6] 他的想法是這樣的
[571.6-574.3] 但是他做的時候可能會偏離了
[574.3-576.4] 這就是神刑不一
[576.4-581.0] 我們平時日常生活中也會遇到這種現象
[581.0-583.8] 其实量价这个东西
[583.8-587.1] 在交易过程当中也会有这样的一些体现
[587.1-588.6] 也会有这样的体现
[588.6-594.2] 所以说接下来我们就会重点的通过这几个方向来给大家讲一讲
[594.2-599.0] 具体有哪些量价的这种神型分析都有哪些形态
[599.0-605.1] 好
[605.1-608.9] 神型分析法的一共有四种
[608.9-610.6] 首先我们看一下
[610.6-614.2] 这个行主要是代表的K线的形态
[614.2-617.0] K线的形态就是股价
[617.0-620.1] 反应的是主力性格的特点
[620.1-623.7] 然后神就是代表的成交量的形态
[623.7-626.5] 反应的是主力的精气神
[626.5-629.3] 就是说主力它是一个什么样的意图
[629.3-632.1] 在这里它有一个意向
[632.1-634.6] 然后表现在股价上面
[634.6-639.0] 然后股价是由主力主导的人的行为
[639.0-641.0] 是由他的思想支配的
[641.0-645.3] 這就是把古架和亮架和人的神型
[645.3-648.3] 來做一個這樣的一個比較
[648.3-649.9] 好 我們可以看一下
[651.6-652.9] 四種分析方法
[652.9-654.5] 大家一定要記住
[654.5-656.0] 這是其實最常見的
[656.0-657.8] 一種就是形不散
[657.8-660.2] 就是K線走勢比較流暢
[660.2-661.8] 波動率比較小
[661.8-664.2] 這種影線少而短
[664.2-664.8] 什麼意思呢
[664.8-667.0] 就是一會兒我們會拿這個石圖
[667.0-668.4] 來給大家看一下
[668.4-672.1] 就是说在一个 你大家就是目测
[672.1-674.1] 看到这个股价的一个走势形态
[674.1-677.3] 它是一个相对比较流畅的一个走势形态
[677.3-681.2] 而不是说出现这种糊糕糊涂的比较流畅的
[681.2-682.8] 这样的流畅的一种
[682.8-684.0] 不管是掌势跌
[684.0-685.6] 相对是流畅的状态
[686.4-689.2] 有些可能就会有些糊糕糊涂的
[689.2-691.4] 跟它心建图这样的走势形态 对不对
[691.4-694.1] 那这种股价相对流畅的
[694.1-695.1] 我们就叫做什么
[695.1-696.6] 它的形是不散的
[696.6-698.2] 它的形是不散的
[698.2-701.6] 然后在一个相反就是行散 对吧
[701.6-703.0] 行散是什么意思呢
[703.0-704.1] 就是像刚才我说的
[704.1-707.2] 想新建图这样的价格的糊糕糊液
[707.2-708.9] 让我们这个终蹲不透的一种
[708.9-710.5] 再一个就是神不散
[710.5-712.3] 神不散就是它的一个成交量
[712.3-716.6] 成交量的释放也是一个相对比较有趋势性的
[716.6-719.8] 而且相对比较过度是比较圆滑的
[719.8-722.2] 并没有出现突然的放量
[722.2-724.5] 或者突然的缩量这样的一个情况
[724.5-726.6] 同样的还有一个神散
[726.6-729.6] 神散就屬於剛才就是相反的一種
[729.6-732.6] 就是它的亮能突然有這樣的爆亮
[732.6-734.6] 或者是突然的極度的縮亮
[734.6-736.6] 就是這樣的一種情況
[736.6-738.6] 大體分為這四種
[738.6-739.6] 這四種情況下
[739.6-743.6] 然後我們就要去相應的去做一個配合
[743.6-744.6] 也就是組合
[744.6-747.6] 神型的一個有四種組合
[747.6-750.6] 這四種組合第一個就是神型兼備
[752.6-754.6] 神型兼備
[754.6-759.2] 神刑监被 神刑监被就是量价走的是比较
[759.2-762.6] 怎么说量价走的是旗行的一个状态
[762.6-766.5] 而且他除了旗行之外 他还能够充分地表现出来
[766.5-769.8] 主力的一些思维方向 这是最好的
[769.8-773.4] 然后再一个就是行神刑巨散
[773.4-777.0] 也就是成交量是成交量的走法
[777.0-780.8] 这个股价是股价的走法 完全无章法的一种
[780.8-783.8] 再一种就是形色而神不散
[783.8-785.0] 行散
[785.0-788.1] 也就是说股价看似走的没有什么规律
[788.1-791.0] 但是它的成交量是放得非常的合理
[791.0-794.3] 而且成交量也是一个有趋势性的
[794.3-796.2] 这样的一个走势很好
[796.2-799.5] 然后再一个就是行不算而神散
[799.5-803.7] 就是我们所谓的就是股价看似趋势性很好
[803.7-806.6] 一波三折的这样的一个往上走的趋势
[806.6-810.6] 但是成交量相对比较粗通复杂一些
[810.6-814.0] 是不是会有一些爆量缩量等这样的一个情况
[814.0-818.7] 所以说这是一个形不算而神散的一个状态
[818.7-824.2] 那这种神型结合的组合就这四种
[824.2-828.6] 然后我们去结合着实际的情况
[828.6-831.1] 去给大家做一个分析
[831.1-833.4] 因为不在实践当中不看的话
[833.4-837.8] 我们是无法体会到真正的量价的一个关系形态
[837.8-840.4] 好 我們看一下這支股票
[840.4-842.8] 這支股票屬於是一個神興監被
[842.8-843.8] 大家可以看一下
[843.8-846.8] 所謂的神興監被就是這樣的一個形態
[846.8-848.8] 亮能我們可以看到
[848.8-852.6] 總體的一個亮能是維持在一個相對比較
[852.6-853.6] 平穩的一個水平
[853.6-856.8] 沒有出現較大的一個暴亮什麼增長
[856.8-860.6] 股價也是非常噁嚎的小音小揚
[860.6-862.0] 這樣的一個走勢形態
[862.0-865.2] 並沒有出現較大的一種突然的一波拉聲音
[865.2-867.0] 或者是突然的下降
[867.0-868.0] 这样的一情况
[868.0-869.8] 那这一种情况说明什么
[869.8-873.0] 说明主力对股价的一个掌握的是
[873.0-874.7] 相对比较好的一个状态
[874.7-876.5] 仇马集中
[876.5-880.0] 做多目标相对一致有利于股价上涨
[880.0-883.1] 一旦出现这一种相对神刑
[883.1-884.9] 叫为一致的一种状态下
[884.9-888.0] 我们只要判断它的一个趋势性就行
[888.0-889.7] 趋势性大家应该都会判断
[889.7-890.3] 对不对
[890.3-892.8] 把他们每次回落的一个低点
[892.8-894.2] 相连接起来
[894.2-895.0] 我们就能看出来
[895.0-896.8] 它是一個向上的一個趨勢性
[896.8-899.6] 只要判斷出來它的趨勢性是向上的
[899.6-904.0] 這支票基本上就是在第一家車神行監被
[904.0-905.6] 就是有利於股價上漲的
[905.6-910.0] 接下來的這個繼續向上的一個趨勢力度是比較大的
[910.0-912.2] 而且像這種屬於是什麼
[912.2-914.6] 尤其是量能還沒有完全釋放出來
[914.6-917.8] 大家可以看量能相對比較地亮的一種狀態
[917.8-924.0] 然後又是這種波斷式的非常溫和的這種
[924.0-929.8] 这种向上的一种趋势往往后面都会有什么集中性的量能释放
[929.8-933.0] 然后股价有一波组声浪 这样的一个走势形态
[933.0-937.3] 这就是什么 这就是神形监备的这种形态
[937.3-939.6] 大家一定要记住这种形态
[939.6-944.6] 把握这种形态就是可以能够帮助我们去分析各种股票
[944.6-948.2] 就是很多股票当中如果你看到有类似于像这样的一种票
[948.2-953.2] 你大概心里就知道这种票是主力 相对 控仇比较
[953.2-955.4] 好的一個主力
[955.4-956.7] 而且就是說
[956.7-959.6] 它隨時都有可能向上去拉聲
[960.6-962.1] 好 我們再看一下
[963.2-964.4] 看一下這支票
[964.4-967.2] 這支票就屬於一個神型劇散的
[967.2-968.5] 什麼叫神型劇散
[968.5-969.4] 剛才也提到了
[969.4-971.0] 就是股價走股價的
[971.0-974.0] 量能也是換散的一種狀態
[974.0-975.8] 沒有一個很好的匹配性
[975.8-977.0] 我們可以看一下
[977.0-979.0] 在這個過程當中股價呢
[979.0-979.8] 首先你看
[979.8-981.5] 我們可以看一下
[981.5-988.5] 好 股价呢 还是有这样的突然的放量
[988.5-992.5] 哎 大涨 大爹 是不是有这样的一波 你看看
[992.5-995.5] 非常的不均衡 对不对
[995.5-1000.7] 没有形成像刚才那样的一个比较完美的这种顺滑的曲线
[1000.7-1006.1] 啊 这种现况 包括成交量也是有这种突兀性的放量
[1006.1-1008.9] 你看 大水的这种突兀性的放量
[1008.9-1011.9] 啊 不是像之前那种披尿平稳的那种
[1011.9-1014.8] 像这种就属于什么神刑巨赛
[1014.8-1016.1] 神刑巨赛
[1016.1-1019.6] 主令的对股价基本上是失控的一种状态
[1019.6-1022.4] 内部仇马产生了比较重大分歧
[1022.4-1025.2] 预示着阶段性的一个键钉
[1025.2-1031.4] 整体来看 基本上这种形态会出现在股价一个相对比较高的位置上
[1031.4-1035.0] 在这个时候 主力会有这样的一个出货的意图
[1035.0-1036.9] 在这样的出货果成当中
[1036.9-1038.7] 那他自然而然就会
[1038.7-1041.8] 他也不可能说今天出货
[1041.8-1043.6] 或者他也不可能一次性出货
[1043.6-1043.9] 对吧
[1043.9-1045.4] 他可能今天出一点
[1045.4-1046.6] 明天出一点
[1046.6-1049.5] 集中性的在某一天多出一些
[1049.5-1052.1] 所以说就会出现量能的一个成交
[1052.1-1053.7] 相对不够平均
[1053.7-1054.6] 不够均衡
[1054.6-1056.8] 就会在顶部出现这样的情况
[1056.8-1058.6] 那股价也会这样
[1058.6-1060.0] 他今天拋售的多一些
[1060.0-1061.9] 股价可能往下砸的很一些
[1061.9-1064.1] 今天少一点可能
[1064.1-1065.3] 就稍微少一点
[1065.3-1067.2] 甚至可能稍微反彈一下
[1067.2-1068.6] 都有可能
[1068.6-1071.4] 它不可能說我賣股票的時候
[1071.4-1072.8] 股價是一直往下走的
[1072.8-1075.3] 它肯定也要有均層的一個過程
[1075.3-1077.2] 所以說在股價的表現形態上
[1077.2-1078.4] 就能看得出來
[1078.4-1081.8] 它的一個走勢是相對比較亂的
[1081.8-1084.5] 並沒有一個比較穩定的持續性
[1084.5-1086.0] 更多的像我們所謂的這種
[1086.0-1089.0] 像新念圖這種這樣一個走勢形態
[1089.0-1091.3] 非常的不穩定
[1091.3-1093.5] 也就是說在這種狀態下的時候
[1093.5-1095.7] 我们在投资者在这种状态下的时候
[1095.7-1099.4] 往往容易被被在这里边洗掉
[1099.4-1102.2] 或者是就在这里边亏钱的很多
[1102.2-1104.1] 所以所谓的在顶部的时候
[1104.1-1105.2] 其实有很多人
[1105.2-1106.9] 就是做的相对比较激进
[1106.9-1109.2] 投资者有些比较激进的投资者
[1109.2-1111.4] 认为觉得冲高以后在一个高位的时候
[1111.4-1115.4] 他震荡的时候都希望他有第二次的一个上涨
[1115.4-1119.1] 有第二次的一个上涨能够再次的一个向上突破
[1119.1-1121.1] 那这个时候我们也就要看
[1121.1-1124.6] 就要看他的一个成交量和股价的一个形态
[1124.6-1128.5] 如果出现比较明显的这种神形巨散的
[1128.5-1130.1] 那我们就要注意了
[1130.1-1132.3] 这个时候坚定的概率比较大
[1132.3-1133.9] 如果在顶部的时候
[1133.9-1137.7] 他的量价关系还是一个相对比较合理的一个状态
[1137.7-1139.3] 也就是说所谓神
[1139.3-1142.3] 哪怕他的股价有所波动
[1142.3-1144.9] 但他的神以着他的量没有出现
[1144.9-1146.5] 叫为明显的跳动
[1146.5-1149.4] 或者他的成交量缩量等等
[1149.4-1154.0] 这些表现并不是非常的特殊或者突兀的
[1154.0-1156.5] 有可能它还有后续的这样的
[1156.5-1160.3] 比如说它的主力还在里面是有下一步的一个操作计划的
[1161.1-1163.0] 但如果像出现这样的一个情况
[1163.2-1165.8] 神刑巨散的一种状态
[1165.8-1169.8] 这个时候基本上就是阶段性的一个顶部出现了
[1169.9-1171.6] 所以说遇到这种情况
[1171.6-1173.8] 我们一定要注意
[1173.8-1179.5] 再看一下这种行散而神不散的一个状态
[1179.5-1181.1] 我们可以看一下这支票
[1181.1-1182.9] 这支票很明显
[1182.9-1184.8] 股价跟刚才有点类似
[1184.8-1187.4] 也是这种奇迹夫妇
[1187.4-1190.7] 你说它的一个趋势性基本上是没有趋势性的
[1190.7-1193.0] 他也不是一个上涨也不是个下跌
[1193.0-1195.7] 但是这样震荡的一个幅度还是比较大的
[1195.7-1198.0] 也有这样的叫长的上影线
[1198.0-1199.0] 大家可以看一下
[1199.0-1202.8] 是不是这种明显的价格是有这样的一个波动的
[1202.8-1204.6] 但是我们看它的成交量
[1204.9-1208.7] 成交量是不是相对来说没有出现很明显的突出的一些现象
[1209.0-1210.5] 也就是说成交量是
[1210.8-1212.8] 保持了一个相对稳定的一个状态
[1213.1-1214.3] 这是这样的一个状态
[1214.6-1216.6] 这说明什么呢说明出现
[1217.2-1218.4] 出现了一些什么
[1219.2-1220.7] 出现的这个分歧呢
[1221.0-1223.0] 出现了一个不是很大的一个分歧
[1223.3-1224.6] 出现交大的一些分歧
[1224.8-1229.4] 但是发生在底部吸酬洗盘的这个阶段
[1229.7-1231.5] 或顶部出货的阶段
[1231.5-1233.3] 這個是什麼意思呢
[1233.3-1237.4] 就是說這種狀態往往會出現在底部的一個階段
[1237.4-1241.5] 底部 底部也就是長期一個股價在底部的時候
[1241.5-1246.5] 長期底部之後肯定是主力吸醜的一個最好的時間階段
[1246.5-1247.3] 對不對
[1247.3-1251.7] 那它的一個吸醜相對是一個溫和的適量的一個情況
[1251.7-1252.6] 這樣吸醜
[1252.6-1256.1] 但是股價會有這樣的一個往上拉升一下
[1256.1-1258.6] 為什麼會有這樣的一個震盪拉升呢
[1258.6-1259.6] 那很简单
[1259.6-1261.3] 如果你不拉声的话
[1261.3-1264.3] 就是散货的丑马你是卖不出来的
[1264.3-1265.5] 他是吸不出来的
[1265.5-1266.9] 他只有这样的网上
[1266.9-1268.9] 拉一拉就有人有获利
[1268.9-1270.8] 获利的盘就会往回土一土
[1270.8-1272.5] 主力就会去吸一吸
[1272.5-1273.9] 然后这样的回回
[1273.9-1275.6] 真正当当
[1275.6-1278.7] 其实他是一个整体的一个稀仇的过程
[1278.7-1281.1] 所以说其实我们通过这四种组合
[1281.1-1282.1] 就能发现
[1282.1-1283.7] 只要是神
[1283.7-1284.9] 他不散的话
[1284.9-1286.1] 神不散的话
[1286.1-1290.3] 基本上都是相對於利好的
[1290.3-1291.8] 但是神意淡散了
[1291.8-1295.0] 基本上要不就是堅頂的一個狀態
[1295.0-1296.6] 所以說是這樣的情況
[1296.6-1300.4] 剛才還有頂部在頂部
[1300.4-1303.1] 在頂部的時候也會有這樣的一種情況
[1303.1-1304.8] 也就是說剛才我提到的
[1304.8-1305.7] 在頂部的時候
[1305.7-1308.9] 如果它的成交量相對比較突兀的出現
[1308.9-1311.5] 較大的放量或較明顯的縮量的時候
[1311.5-1314.0] 這種堅頂的可能性較大一些
[1314.0-1315.8] 但是如果出现什么
[1315.8-1317.5] 成交量相对比较温和
[1317.5-1319.9] 并没有出现较为突兀的表现
[1319.9-1322.6] 但是股价上伤下下这样一个震荡
[1322.6-1325.1] 只能说明它的一个分歧是加大的
[1325.1-1328.4] 但是主力的一个这种思想
[1328.4-1331.0] 就是主力的一个持有的一个
[1331.0-1333.1] 这个思维方式逻辑
[1333.1-1334.5] 还是比较坚定的
[1334.5-1335.7] 那这种情况下
[1335.7-1337.5] 在震荡习盘之后
[1337.5-1340.1] 有可能会有第二步的一个上涨
[1340.1-1341.5] 所以说这叫什么
[1341.5-1343.3] 这叫刑散而神不散
[1343.3-1346.5] 刑散而神不散的一个形态
[1348.0-1349.2] 好,我们再看一下
[1351.2-1358.3] 这一种就属于刑散而神不散的一个顶部出货阶段
[1358.3-1359.7] 就是刚才的那个
[1359.7-1361.2] 这是一个顶部出货
[1361.2-1362.3] 顶部出货
[1362.3-1364.7] 它顶部出货的一个情况很明显
[1364.7-1367.0] 就是它的很均衡的
[1367.0-1368.0] 我们看一下
[1371.3-1372.3] 很均衡的
[1372.3-1375.9] 首先 股價是一個波浪式的一個情況
[1375.9-1379.1] 主要是在這一塊
[1379.1-1381.5] 然後這一塊的整個底這一部分
[1381.5-1384.9] 其實整體的一個 它的一個股價形態
[1384.9-1387.5] 只是波動政府稍微大一些
[1387.5-1390.5] 但是走起來還是相對比較平緩的
[1390.5-1391.9] 但是我們可以看到成交量
[1391.9-1393.1] 也是這樣的一個
[1393.1-1396.9] 成交量沒有出現一個明顯的一個通路的表現
[1396.9-1398.5] 這就是一個主力
[1398.5-1401.3] 在高位 開示震盪震盪式的這種
[1401.3-1404.9] 拉高一点 出一点货 拉高一点 出一点货 这样的一个形态
[1404.9-1407.1] 后面的话 可能还会有急剧的一个
[1407.1-1409.1] 放亮的一个出货的一个情况
[1412.4-1414.0] 好 我们再看一下
[1414.5-1418.5] 再看一个就是神部散而行散的一个状态
[1421.8-1425.7] 我们看一下说明主力对股价掌握很好
[1425.7-1427.2] 通常是装股
[1428.0-1429.5] 这什么意思呢
[1429.5-1435.4] 就是说还是神部散在整体的一个量价表现的上
[1435.4-1437.3] 虽然说中间有这样的一个
[1437.3-1438.0] 我们可以看
[1438.0-1442.5] 虽然说中间有这样一个相对比较突历的表现
[1442.5-1444.4] 有这样的一个突历表现
[1444.4-1445.6] 突历性放量
[1445.6-1446.2] 说明什么
[1446.2-1447.5] 说明主力在这里
[1447.5-1449.7] 有较大的一个空谈能力度
[1449.7-1450.5] 我们可以看到
[1450.5-1452.9] 也是在一个相对比较低位的时候
[1452.9-1454.3] 出现这样的一些情况
[1454.3-1457.4] 股价相对比较震荡波动
[1457.4-1461.2] 这种往往属于是在低位吸丑的一种状态
[1461.2-1463.4] 也就是说主力在这个时候
[1463.4-1465.4] 对股价掌握的相对比较很好
[1465.4-1467.8] 它一拉起来股价就有这样的一个
[1467.8-1470.0] 就很容易能够拉起来
[1470.0-1473.0] 然后相对在这样的一个震荡过程当中
[1473.0-1475.6] 一般情况下是出现在什么低位
[1475.6-1478.8] 一般情况下是出现在低位的这样的一个情况
[1478.8-1480.5] 会出现这样的一个情况
[1480.5-1485.8] 整体的一个成长量我们可以看出来
[1485.8-1490.1] 基本上还是一个相对有形的一个状态
[1490.1-1493.9] 比如它的一个形态还是相对比较区域稳定的一个形态
[1493.9-1498.6] 没有出现很明显的这种突上突下的这种状态
[1498.6-1500.5] 尤其是在底部
[1500.5-1504.6] 稍后我们会给大家讲这种突兀性的放量
[1504.6-1507.8] 为什么我每次都会把这个标录出来
[1507.8-1510.1] 标录出来 突兀性放量 突兀性放量
[1510.1-1513.7] 这个东西肯定是有一定的意义的 肯定有意义的
[1513.7-1516.0] 因为在我们的交易过程当中
[1516.0-1517.5] 虽然说量价很重要
[1517.5-1523.8] 但是我们要知道其实百分之就是一个交易时间段里边90%的时间
[1523.8-1526.3] 其实都是无用的时间
[1526.3-1528.0] 更多的时候是什么
[1528.0-1531.8] 是一些有标志性的东西出现以后我们才去做的选择
[1531.8-1532.3] 对不对
[1532.3-1535.8] 我们真正的看到的量能有一个明显的一动的时候
[1535.8-1537.8] 我们才会去做交易
