# file=09.mp4
# language=zh prob=1
[10.2-12.9] 好 各位投資者朋友們 大家好
[12.9-16.0] 我們繼續上一節課的內容
[289.4-292.1] 好 我們了解了這個問題之後
[292.1-294.9] 我们就了解一下缩量在实战当中
[294.9-296.7] 我们应该怎么去运用
[296.7-300.5] 通常是来判断筹码集中度
[300.5-303.6] 洗盘键顶 真假突破等等
[303.6-306.4] 大体分为是三种趋势下的一个缩量
[306.4-307.6] 我们要了解哪三种
[307.6-310.2] 一个是上升趋势中的缩量
[310.2-312.1] 震荡趋势中的缩量
[312.1-315.3] 还有一个就是下跌趋势中的缩量
[315.3-319.2] 这三个缩量是我们要去掌握的一个东西
[319.2-322.4] 我们现在看一下这一支
[322.4-323.6] 这支表地
[323.6-327.2] 这个就是一个下跌途中的锁量
[327.2-330.2] 说明财富效应的消失交易十分冷清
[330.2-332.5] 这个的属于是一个正常的一个逻辑思维
[332.5-333.9] 我们都能想到通的
[333.9-338.7] 在前面出现了这样的一个震荡回落之后
[338.7-341.1] 在平台上震荡之后再次跌破
[341.1-345.1] 一般来说向上突破压力位需要放量
[345.1-348.5] 但是破跌破重要支撑位
[348.5-350.0] 可以不需要方量
[350.0-351.6] 不需要方量 为什么呢
[351.6-353.3] 往往在这个时候
[353.3-354.0] 只要
[354.0-356.8] 本来他的一个成交量就相对比较低谜
[356.8-359.7] 没有较强的一个抛押在这所在
[359.7-360.8] 他是往下打
[360.8-362.1] 往往有点有效
[362.1-363.2] 叫少的筹码
[363.2-364.9] 就能把股价打下来
[364.9-366.9] 而且破位是很容易的
[366.9-368.1] 很不容易的
[368.1-368.9] 有人说
[368.9-370.6] 这里有时有支撑的
[370.6-371.4] 我跟你说
[371.4-374.2] 支撑的位置远不如什么
[374.2-375.9] 远不如压力位
[375.9-378.2] 那么怎么说呢
[378.2-381.0] 就是他支撐位相对来说要薄弱一些
[381.0-384.3] 在下跌过程当中的支撐位是薄弱一些的
[385.1-387.4] 如果按大小排列的话
[387.4-390.4] 上升过程当中的支撐位回彩支撐位
[391.0-392.0] 这种支撐位
[392.8-395.1] 他的力度是稍微强势一些的
[395.3-396.9] 和下跌过程当中的
[398.1-401.2] 所谓的到这以后下跌以后站的支撐位来说的话
[402.0-402.5] 是有
[402.7-403.8] 这种天涨之别的
[404.0-405.8] 所以说大家要分得清楚一些
[406.3-407.6] 在这种支撐位上
[407.6-410.3] 往往是稍微有一点破位
[410.3-413.7] 基本上就会引来这种抛手型的情况
[413.7-417.3] 所以说这一块就要大家知道这一点就好了
[417.3-419.5] 这是在下跌涂中的缩量
[421.9-423.2] 我们再看一下这个
[423.2-425.4] 在底部横盘区间
[425.4-426.9] 多数情况下
[426.9-429.4] 缩量表示交易不活跃
[429.4-431.9] 投资者信心上恢复
[431.9-434.7] 也就是说有带恢复的一个状态
[434.7-440.9] 那就是说整体来看市场的目前股价是一个在地位震荡豐富
[440.9-443.1] 我因为我把这个图拉的稍微大了一点
[443.1-446.1] 所以说大家看到的一个政府的幅度还是蛮大的
[446.1-450.1] 其实重观一下的话就是它的幅度不会很大
[450.1-452.3] 这样的一个震状情况下
[452.3-454.5] 像这样的一种反弹后的缩量
[454.5-456.7] 主要主力的一个洗盘特征
[456.7-460.7] 这个就是很简单的一个地位主力洗盘的一个过程
[460.7-464.5] 那這個時候的縮量 其實說白了吧
[464.5-468.3] 就是主力 就是剛才我給大家講到的一個情況一樣
[468.3-470.6] 前主力建完廠以後拉一波
[470.6-474.1] 然後就會肯定會有一波散戶去跟往裡跟對不對
[474.1-475.6] 那跟進去以後散戶
[475.6-478.0] 那主力可能一次性不可能建完廠
[478.0-480.1] 不可能建完廠以後該怎麼辦呢
[480.1-484.3] 那他就等 等這個市場他的自由一個回落狀態
[484.3-486.5] 然後回落下來以後呢 再怎麼呢
[486.5-489.2] 再去做二次建廠 再去做二次建廠
[489.2-492.2] 其实就是一个震荡习盘的过程
[492.2-493.4] 就是这样的情况
[493.4-495.8] 然后再去等市场的一个自由回落
[495.8-498.2] 然后再去做检查
[498.2-499.7] 就是这样的一个震荡习盘
[499.7-500.7] 主力就是这样
[500.7-503.4] 它不同的就在这一段时间内
[503.4-505.3] 会分几个时间点
[505.3-508.3] 去把它的一个倡位去见好
[508.3-509.3] 这样好
[509.3-510.6] 整体来看的
[510.6-511.8] 但是从底部上来看
[511.8-513.2] 所谓的信心不足
[513.2-515.2] 是说的谁的信心不足
[515.2-518.3] 其实说的是散货的信心不足
[518.3-520.4] 更多的是散户的信心不足
[520.4-524.5] 主力它还是有自己一套建倉的逻辑的
[524.5-526.3] 尤其是在
[526.3-528.8] 因为我们这个里边讲的是缩量嘛
[528.8-530.9] 所以说我把缩量这一块
[530.9-532.4] 全部画出来了
[532.4-534.5] 缩量这个地方全部画出来
[534.5-536.5] 这个时间段
[536.5-537.8] 这个时间段
[537.8-540.1] 说明了它的一个市场交易
[540.1-541.9] 相对不够活跃
[541.9-545.2] 也就是说没有较强的一个趋势性
[545.2-546.5] 导致的
[546.5-549.9] 好 我們再看一下下一支
[549.9-552.9] 那這個呢是一個在上升期當中
[552.9-555.9] 股價橫盤成交量
[555.9-560.9] 整體縮小一般為中計平台的一個修整行為
[560.9-565.9] 中計平台這個指的就是中間的這個小調整平台
[565.9-569.9] 在很多這個技術分析裡面
[569.9-570.9] 它有不同的稱法
[570.9-573.9] 有的叫正當小平台
[573.9-576.1] 产轮里面叫中书 对吧
[576.1-577.9] 叫中书平台
[577.9-579.5] 王王这种
[579.5-581.4] 就是各种成乎吧
[581.4-584.3] 那我们在这里叫中纪平台
[584.3-587.2] 也就是说他也是在上升过程当中
[587.2-589.7] 形成了一波小的一个横盘镇荡
[589.7-591.4] 在这一波横盘镇荡之后
[591.4-594.1] 王王就是伴随着一个放量之后
[594.1-595.7] 开始逐渐的缩量
[595.7-599.1] 缩量维持在一个横向的一个小平台当中
[599.1-600.9] 小相体当中进行一个镇荡
[600.9-602.7] 这样的一个走势形台
[602.7-605.0] 往往属于是一个主力什么
[605.0-607.7] 中级平台的修整期
[607.7-608.8] 在上升中期
[608.8-612.4] 极度缩量一般是黄金窝为买点
[612.4-614.5] 所谓的黄金窝
[614.5-617.3] 就是那种出现的这种加大的一个黄金窝
[617.3-618.9] 其实在我们
[618.9-623.2] 吵在我们很多标地
[623.2-625.5] 其实也有很多这样的一些表现
[625.5-628.0] 包括像这样的一种黄金窝
[628.0-631.6] 大家可能回去可以发掘一下
[631.6-634.7] 好多股票都是在震荡 震荡下跌
[634.7-637.4] 下跌到一个趋稳的状态下的时候
[637.4-640.8] 往往觉得好像要起来的感觉的那种情况
[640.8-642.8] 突然间它有一波大跌
[642.8-645.8] 爹破了所谓的你前期的这个底部平台
[645.8-648.0] 然后在这里才开始震荡其温
[648.0-649.6] 然后才走出一波行情
[649.6-651.4] 很多这样的股票
[651.4-653.2] 大家可以回去关注一下
[653.2-655.8] 其实这个其实类似于这种情况
[655.8-657.4] 只不过这种情况
[657.4-659.4] 它是一个震荡上行过程当中
[659.4-661.2] 这种出现的这种黄金坡
[661.2-663.4] 他下方是比较完美
[663.4-664.2] 比较完美
[664.2-666.2] 因为他有下方有较强的一个
[666.2-668.2] 这个终际平台做支撑
[668.2-672.2] 所以说他的黄金坡就是比较
[672.2-673.2] 看得舒服一点
[673.2-676.2] 最起码他的股价没有出现这种破味的情况
[676.2-677.6] 但是实际当中的话
[677.6-679.0] 我们遇到这样的这种情况
[679.0-680.2] 那才是满多的
[680.2-681.0] 还是满多的
[681.0-682.0] 其实也是这样
[682.0-683.4] 他这样的一个震荡和满
[683.4-686.2] 其实也是搭建了一个小的一个终际平台
[686.2-687.4] 终际平台之后
[687.4-690.0] 他往往不是說小幅的回落
[690.0-692.5] 他又可能會有一個跌穿式的一個回落之後
[692.5-694.5] 然後再震盪起來這樣那個情況
[694.5-698.6] 這個肯定都是一些主力在做的一些操作的行為
[698.6-700.4] 肯定是要去洗一下艙
[700.4-702.6] 把散戶洗掉之後
[702.6-705.3] 他有更多的籌碼去控制這支標帝
[705.3-707.3] 這是這樣的一個情況
[707.3-708.6] 所以說在時旦共產黨中
[708.6-714.2] 我們還是要注意這個點
[714.2-716.2] 我們再看一下這個
[716.2-720.4] 這個是突破中央壓力位需要放量
[720.4-726.2] 回調確認時如果成交量緩慢縮量且保持一定水準
[726.2-729.0] 然後唯有效突破
[729.0-731.6] 如果急劇縮量可能是假突破
[731.6-734.1] 此時可以結合一些龍虎綁
[734.1-736.0] 看似乎有幽默的一些出現
[736.0-739.5] 這個情況就是在突破過程當中
[739.5-742.2] 我們在判斷它是真假突破的時候
[742.2-745.3] 往往突破會有一這樣伴隨著這種放量
[745.3-748.0] 或者是麥充氏放量突破
[748.0-750.5] 甚至有這種較大的這種天亮出來
[750.5-756.2] 出來之後我們要看它後續的一個量能持續性
[756.2-760.1] 是這樣的一個震盪尾縮是小幅的這種幅度
[760.1-763.7] 我們看它的一個量能跟之前的一個量能相比較
[763.7-768.1] 還是比較就是維持在一定的水準之上的
[768.1-772.1] 這種情況我們在這一段的横盤震盪過程當中
[772.1-775.3] 可以简单的判断它为一个针涂泼
[775.3-777.1] 可以判断它为针涂泼
[777.1-783.3] 然后在这里我们再去找合适的低点去关注就可以了
[783.3-785.3] 只是这样的针涂泼情况
[785.3-787.5] 如果出现极度锁量
[787.5-789.7] 也就是说它的涂泼之后
[789.7-794.0] 虽然鼓架好像也是这样的一个小富衡盘状态
[794.0-796.7] 但是它的量能出现的极度的萎缩
[796.7-798.3] 比如说坎坊了没有这样
[798.3-802.0] 直接是下面这种坎坎的这种量能的话
[802.0-804.3] 那我们一定要注意了
[804.3-808.2] 那他的一个量能可能在这里一个震荡
[808.4-812.8] 震荡横盘的过程也可能是主力在这里震荡出货的一个表现
[813.0-815.3] 所以说我们要注意这个量能的一个
[815.6-817.1] 后续的一个持续释放性
[817.6-819.7] 不是说所有的突破都是震突破
[819.9-823.3] 哪怕是突破之后他在他的突破这个景线上面
[823.5-824.8] 横盘震荡了几日
[825.6-827.6] 给人的感觉像是
[827.9-829.2] 起稳了要往上走了
[829.4-829.9] 但是呢
[830.7-831.7] 后续的话肯定
[831.7-833.6] 可能还会有这样的一个下跌
[833.6-837.5] 所以说这个时候我们要去配合成疆量一个情况
[837.5-841.9] 再一个去看刚才提到的龙虎宝
[841.9-844.8] 稍后我们会给大家讲龙虎宝上的一些东西
[844.8-846.8] 简单的其实就是油滋
[846.8-850.0] 看法有没有其他的一些油滋在里边炒作
[850.0-854.0] 会导致这些市场的一些奇異的行为
[858.2-860.0] 我们再看一下这支标题
[860.0-863.4] 这个是股价经过长期的一个波动
[863.4-867.0] 且整体成交量持续缩小
[867.0-872.6] 缩小到一段程度后且稳定至少三个月以上为大买点
[872.6-873.4] 这什么意思
[873.4-878.4] 就是说成交量在持续性的一个缩量的过程当中
[878.4-883.0] 然后它有一个足够的时间
[883.0-884.0] 持续缩量
[884.0-888.2] 然后再一个低位形成了一个所谓的一个
[888.2-891.2] 急制的一個量能
[891.2-893.2] 而且有一個較長時間
[893.2-896.2] 那這段時間所對應的股價
[896.2-898.2] 也是一個相對比較低的位置
[898.2-901.2] 往往這個是一個買點的一個開始
[901.2-903.2] 也就是說我們在觀察很多股票
[903.2-904.2] 在夏天股上當中
[904.2-906.2] 我們不知道它什麼時候指跌
[906.2-908.2] 對吧 那這個是很難判斷的
[908.2-910.2] 那這個時候我們怎麼去判斷呢
[910.2-913.2] 就去看這個量能的一個持續性釋放
[913.2-915.2] 然後達到它的一個所謂的歷史周期當中
[915.2-917.2] 一個相對比較低的位置
[917.2-923.2] 这位置而且出现了较长时间的一段维持在这样的一个低量能的一个情况下
[923.2-930.2] 我们看到这个案例是以三个月以上必须要有一这样的一个长时间三个月以上的这样的情况
[930.2-934.2] 往往会有这样的一个预期向上的一个走势形态
[934.2-941.2] 有人说因为这种股票相对来说在市场当中属于市内一种比较不受人关注的股票
[941.2-945.3] 而且交易成交量又是相对比较惨的
[945.3-949.4] 长期的这种持续下跌行情当中要不就是震荡
[949.4-951.2] 弱势的这种走势形态
[951.2-953.2] 所以说不太受到关注
[953.2-957.2] 这种股票作为一个中长期可以作为一个超底的形化
[957.2-958.2] 就可以去做
[958.2-961.2] 如果我们看到了我们可以去关注一下
[961.2-962.2] 可以关注一下
[962.2-964.6] 如果它能有这样一个所谓的
[964.6-968.2] 地量的这种持续性的超过三个月以上
[968.2-971.6] 往往它后续的离它的
[971.6-973.1] 就是有这样的一个
[973.1-974.6] 向上拉升的一个预期
[974.6-976.4] 是比较大的
[976.4-978.4] 这种股虽然说看似安全
[978.4-979.4] 看似安全
[979.4-980.9] 但是它缺乏活跃度
[980.9-981.9] 缺乏活跃度
[981.9-984.3] 也就是说我们不可能去
[984.3-985.8] 属着这个天去看
[985.8-987.2] 可能就是我们在
[987.2-989.0] 在副盘的过程当中
[989.0-991.6] 发现了一支有点类似像这样的票
[991.6-992.8] 我们可以去加益关注
[992.8-994.8] 我们没必要去从他下跌的时候
[994.8-996.4] 就开始去关注 对吧
[996.4-1001.2] 然后一直等一 等好几年去等这三个月去没有必要
[1001.2-1006.1] 比如说如果我们在复盘过程当中看到了有类似于像这样的出现了
[1006.1-1011.0] 持续性限定过程当中又有一波急低的一个量能出现的时候
[1011.0-1013.3] 我们可以去加以一个关注
[1017.1-1018.8] 我们再看一下这支表点
[1018.8-1022.8] 这个是长期极度缩量 换手率非常的低
[1022.8-1026.4] 然后说明高度控盘一般为装股
[1026.4-1029.0] 这个就是由于我们看到它即使是缩量
[1029.0-1032.7] 但它的股价还是在持续的一个走墙
[1032.7-1034.6] 就是挣到上行的一个过程 对吧
[1034.6-1037.2] 亮能是非常的低
[1037.2-1040.3] 基本上没有出现所谓的持续性汪量
[1040.3-1041.5] 什么之类的情况
[1041.5-1045.7] 这种情况就是一个主力控盘非常高度
[1045.7-1047.4] 基本上没有散户在里边玩的
[1047.4-1048.7] 什么是这种这种票
[1048.7-1050.7] 一般主力就是在里边厚导
[1050.7-1052.1] 一般对一些大盘骨
[1052.1-1054.8] 是这种情况的性可能性大一些
[1054.8-1057.8] 像什么中国银行 中国石油啊 等这类的票
[1057.8-1063.8] 它的波动性 它的神型 而且这种神型兼备还是蛮不错的
[1063.8-1066.8] 但是就是缺乏一个活躍性和什么
[1067.8-1068.8] 好 我们再看一下
[1071.7-1074.7] 这个缩量分析的一个总结
[1074.7-1078.7] 首先我们也知道缩量就是单个缩量分析
[1079.7-1082.7] 然后呢 如籍度缩量 包括地量
[1082.7-1084.7] 以后我们会去讲地量
[1084.7-1086.5] 单个缩量分析
[1086.5-1089.1] 就是说我们要去分析它的每一个阶段
[1089.1-1092.9] 它的缩量它是在什么样的一个位置上面
[1092.9-1095.9] 然后单个量堆内的分析
[1095.9-1096.5] 什么意思
[1096.5-1098.1] 就是在一个量堆过程当中
[1098.1-1099.5] 它存在的缩量
[1099.5-1100.5] 因为有量堆
[1100.5-1102.7] 尤其是如果出现古堆
[1102.7-1104.9] 古堆它两边也是缩量的一个状态
[1104.9-1105.5] 对吧
[1105.5-1108.1] 所以说我们要把它缩量这个东西
[1108.1-1109.5] 它不是单独拿出来看的
[1109.5-1110.7] 它是一个整体
[1110.7-1112.5] 它是一个整体拿出来看的
[1112.5-1118.1] 所以说我们要去 比如说古堆 古堆这一块缩量了
[1118.1-1120.7] 我们要去看它的一个缩量情况
[1120.7-1124.1] 如果是这个量堆 量堆出现以后
[1124.1-1127.9] 它的周围的一个缩量是一个什么样的情况
[1127.9-1132.5] 水平是极度缩量 还是一个温合式的一个缩量
[1132.5-1134.7] 来判断它接下来的一个走持形态
[1134.7-1136.7] 同时也要结合这市场
[1136.7-1138.9] 它是下跌过程当中的缩量
[1138.9-1145.2] 还是震荡起稳后上行过程当中包括中纪那种横盘中过程当中的缩量
[1145.2-1147.4] 还是在高位出现了那种
[1147.4-1149.1] 卖重式方量之后的缩量
[1149.1-1153.7] 我们要去配合它的一个股价的一个形态来判断
[1153.7-1156.8] 然后再结合整体成交分析
[1156.8-1159.1] 作为一个中长期的一个判断
[1159.1-1160.2] 作为中长期判断
[1160.2-1161.2] 什么意思呢
[1161.2-1164.4] 其实就是说缩量这个东西
[1164.4-1170.1] 不太容易就是不是一個單獨的一個不像那個賣充飾放量
[1170.1-1174.7] 我們可以把這一天或者是近幾天單獨的拿出來去判斷
[1174.7-1176.7] 它的一個價位的一個情況
[1176.7-1179.4] 那縮量它是一個整體的一個東西
[1179.4-1182.7] 它更多的是結合我們之前所覺得整體法
[1182.7-1184.9] 它是以整體的一個形式去判斷
[1184.9-1187.2] 它的整體的一個判斷性質的
[1187.2-1192.9] 更多的容易的去分析出來它的一個主力的一個意圖所在
[1192.9-1195.9] 往往這個縮量我們剛才提到
[1195.9-1200.1] 縮量是能夠最為真實的反應市場的一個交易情況的
[1200.1-1204.9] 所以說我們在結合著我們的標地
[1204.9-1210.4] 然後通過縮量的這些表現來判斷主力
[1210.4-1214.9] 在股價不同階段所出的一個位置和它的一個所謂的意圖
[1214.9-1218.9] 它是想初步建倉後的一個震撼洗盤
[1218.9-1222.0] 还是想突破之后的一个
[1222.0-1224.8] 这种缓合之后再次的一个拉声
[1224.8-1227.0] 还是高位放量之后
[1227.0-1229.0] 缩量还是一个出货
[1229.0-1232.0] 还是一个二次调整之后再次的一个拉声
[1232.0-1234.2] 是这样的一个分析的一个过程
[1234.2-1237.0] 所以说缩量其实还是蛮重要的
[1237.0-1239.1] 他在我们的交易过程当中
[1239.1-1241.5] 有时候可能比放量更容易
[1241.5-1245.7] 更容易就是更常见一些
[1245.7-1247.8] 其实放量的更容易加大
[1247.8-1249.6] 人们的关注度
[1249.6-1252.1] 也就是大家更多的去关注的是放量
[1252.1-1253.6] 往往缩量的时候
[1253.6-1256.6] 大家可能一对这个亏损的验务
[1256.6-1261.5] 其次对亏损的验务所导致的对缩量这个东西
[1261.5-1263.0] 可能不太感冒
[1263.0-1264.4] 觉得反正跌了吗
[1264.4-1265.6] 量能就肯定少了
[1265.6-1266.8] 就是这样的一个情况
[1266.8-1267.8] 但是越是这样
[1267.8-1270.4] 我们越要去分析它的一个缩量的一个情况
[1270.4-1271.8] 来剧量化
[1271.8-1274.0] 来量化它的一个缩量的一个情况
[1274.0-1276.3] 来分析这时候的主力
[1276.3-1278.4] 他的一个所谓的意图是什么
[1278.4-1280.7] 这样的话我们更容易去什么
[1280.7-1284.2] 去比别人更多的去了解市场的一个情况
[1284.2-1286.1] 其实这个市场就是你所谓的
[1286.1-1288.2] 你认知内所挣到的每一分钱
[1288.2-1288.9] 对不对
[1288.9-1291.0] 那缩量这个东西就是这样
[1291.0-1293.7] 我们能掌握了缩量能够很好地去把握
[1293.7-1295.2] 这个缩量的一个情况
[1295.2-1297.2] 尤其是对主力的一个分析
[1297.2-1298.8] 是有很大的一个帮助的
[1302.4-1304.5] 我们再看一下这个
[1305.8-1306.9] 一个问题
[1306.9-1308.5] 就是天亮劍天架
[1308.5-1311.0] 然后那么地亮劍地架呢
[1311.0-1313.8] 这个东西其实人者见人
[1313.8-1315.5] 但是大部分
[1315.5-1317.5] 也就是天亮劍天架
[1317.5-1319.7] 基本上是这样的一个情况
[1319.7-1321.6] 基本上放出天亮来以后
[1321.6-1324.0] 它的一个天架基本上也就是到了
[1325.0-1327.5] 但是的地量未必见地架
[1327.5-1331.2] 这个是我们之后就要讲的就是一个地量问题
[1331.2-1333.6] 所以说我们看一下什么是地量
[1333.6-1335.0] 什么是地量
[1335.0-1339.0] 地量的幾乎就是近三年內最低的一個成交量
[1339.0-1341.6] 說明市場交投季
[1341.6-1344.4] 交投的交投季度
[1344.4-1347.0] 交投量非常的冷清
[1347.0-1348.3] 交投非常冷清
[1348.3-1351.1] 一般是發生在下跌航行當中
[1351.1-1355.5] 一般是在發生在下跌航行當中的這種地量出現
[1355.5-1357.4] 我們可以看一下
[1357.4-1362.2] 這是剛才我們要思考的這個問題
[1362.2-1368.9] 好 那這個地量其實在各股上的一個運用
[1368.9-1371.0] 其實並不是特別的多
[1371.0-1374.4] 而且我覺得沒有很強的一個說明性
[1374.4-1377.5] 所以說更多的我是拿地量去做
[1377.5-1381.1] 這個整個市場的一個趨勢性的分析
[1381.1-1383.3] 所以說我們看到這是上正指數
[1383.3-1387.1] 上正指數2018年的一個日限走勢形態
[1387.1-1391.1] 那這個裡面我專門的畫出了這幾個點
[1391.1-1393.8] 这个是地量的一个表现
[1393.8-1395.6] 这是当时成较量相对
[1395.6-1397.2] 叫低的几个点
[1398.2-1400.0] 那这几个点有什么特点
[1400.0-1402.0] 就是首先量能是比较低
[1402.0-1403.2] 量能比较低
[1403.2-1407.0] 前几次的量能也是逐渐的一个走低
[1407.0-1409.0] 那这一天量能可能也就是维持
[1409.0-1411.4] 在了不到1000亿的一个水平
[1411.4-1413.4] 然后包括后边也是
[1414.4-1415.8] 但是这样的一个地量
[1415.8-1417.4] 它对应的价钱
[1417.4-1418.2] 对应的价格
[1418.2-1419.7] 我就所谓的指数
[1419.7-1420.6] 对应的指数
[1420.6-1425.6] 我们看并没有所谓的一个地价 对不对
[1425.6-1428.8] 反倒是后面还有正当时的回落 对吧
[1429.8-1433.2] 包括这一块 这一块都是后面还有正当时的回落
[1433.2-1434.4] 那也就说明什么
[1434.4-1437.6] 它这个地量我们在分析的过程当中切记
[1437.6-1442.6] 切记不要拿单个地量去判断一个市场的地价
[1442.6-1445.4] 甚至一直股票的地位 不要去这样
[1445.4-1449.4] 单个地量 不要这样去判断
[1449.4-1450.6] 不要去判断
[1450.6-1452.4] 但是我们可以看到
[1452.4-1453.8] 在这个时间段
[1453.8-1457.6] 是不是有一个比较集中性的多个地量出现
[1457.6-1460.4] 后边我们会给大家讲
[1461.4-1463.0] 后边我们会给大家接讲
[1463.0-1464.0] 我们看一下
[1464.0-1467.0] 地量 地量做一个简单总结就是什么
[1467.0-1471.0] 地量用来判断指数底部区间比较有效
[1471.0-1472.6] 就是刚刚给大家说的
[1472.6-1474.6] 各古可能没有那么的明确
[1474.6-1476.4] 地量所谓出现以后
[1476.4-1478.2] 它可能还会有地点
[1478.2-1479.2] 这是很正常的
[1479.2-1484.3] 在一个呢就是一两次的一个地量只能说明市场的一个交易冷秋
[1484.3-1487.8] 不能判断底部就刚才我们看到的 对不对
[1487.8-1492.4] 我们刚刚看到的在这里它并不是一个地价后面还有 对不对
[1492.4-1493.9] 这是这样的情况
[1493.9-1499.9] 当某个时间段频分出现地量的时候大致此处就是一个底部区间
[1499.9-1502.6] 这是这样的情况 就是刚才我们看到的这个
[1502.6-1508.8] 在某一个时间段接连不断的出现这种地量的情况
