# file=03.mp4
# language=zh prob=1
[9.3-11.3] 大家好 我是王老师
[11.3-13.8] 那么今天开始第四节的一个课程
[274.6-276.8] 就是打上去之后可能有涨停
[276.8-277.6] 然后有跌停
[277.6-278.8] 然后逐渐收脸
[278.8-280.6] 最开始的时候比较大
[280.6-282.1] 然后逐渐的逐渐收窄
[282.1-283.4] 然后最终的时候
[283.4-284.7] 它会选择一方向突破
[284.7-285.7] 那么在震荡的时候
[285.7-288.0] 你如果看得出来这个什么形态
[288.0-289.2] 你当外能判断
[289.2-290.6] 而未来上上还是上下
[290.6-292.6] 这个其实是几句价值的
[293.3-294.3] 价格轨迹
[294.8-298.2] 价格在一定时间断内高点会逐渐下疑
[298.2-299.9] 然后低点逐渐上疑
[300.7-302.5] 或其中一方保持水平
[302.5-306.1] 然后最终形成一个类似三角形的一个手脸的区域
[306.1-309.8] 有三角形的形态下面会给大家介绍
[311.3-312.5] 那成交量的话
[313.6-317.3] 形态形成过程中成交量通常是逐渐地减的
[317.3-319.5] 因为这个波动幅度也在减一小
[319.5-322.8] 所以唇胶量也是一个逐游地检
[322.8-326.5] 反映多空双方分析正在逐游变小
[326.5-328.8] 等在市场方向那个选择
[329.8-331.2] 那突破信号的话
[331.2-334.7] 当价格突破三角形的边界
[334.7-337.5] 有一个边界有的会有比较明显的边界
[337.5-338.8] 那有的不太明显
[338.8-341.0] 但你也当然能够看得到
[341.0-343.2] 往往会办随大量的成交
[343.2-345.6] 就成交量会显住放大
[345.6-348.2] 你能够观察到这个信号
[348.2-352.0] 然后这是突破有效性的一个重要验证
[352.0-354.2] 就是说这个突破的时候一定有存下量放大
[354.2-359.0] 如果没有存下量的话可能会有假突破这样的一个情况
[359.0-361.0] 这个是三角形
[361.0-370.0] 那三角形的话是有几种分类有三种分类
[370.0-372.6] 根据这个高点和低点的一种方向
[372.6-374.8] 主要有三种分类
[374.8-377.0] 那第一种是对称三角形
[377.0-378.4] 对称赛咬就是
[378.4-380.4] 我这些话一下
[380.4-382.2] 对称赛咬就是一个这样的形态
[382.2-383.2] 比如上去了
[383.2-385.2] 然后打下来
[385.2-388.2] 这样它是一个对称的
[388.2-391.4] 就是它这边高点逐渐向下移的
[391.4-394.4] 低点是逐渐向上移的
[394.4-396.6] 这是一个对称的赛咬形
[396.6-397.6] 不要直观
[397.6-400.9] 就是高点逐渐下移
[400.9-402.4] 低点它逐步上移
[402.4-403.4] 上下边界
[403.4-404.6] 从对称的一个手脸
[404.6-405.6] 它是一个对称的
[405.6-408.3] 中间一个中轴 两边是对趁的
[408.3-412.7] 上掌和下跌的中途 属于一个中剂形态
[412.7-414.1] 它是一个中途
[414.1-418.5] 这种大概率 比如说你从这边掌上去的
[418.5-422.7] 那它大多数情况下是会向上途破
[422.7-425.7] 就是它会延续的 延续原来的方向
[425.7-427.3] 延续原来的趋势
[427.3-430.6] 如果它是一个下跌过来的 从上面下来的
[430.6-431.9] 然后就是整理趋
[431.9-435.7] 大概未来会向下这样来运行
[438.8-441.9] 那么这个是对称对称的
[441.9-443.4] 还有上升三角形
[443.4-444.4] 上升三角形
[444.4-445.5] 也直接给大家画出来
[445.5-447.3] 就是你一个K线
[448.0-448.8] 打开之后
[448.8-450.3] 然后在这边遇到阻力了
[450.3-451.7] 遇到一个比较强阻力
[451.7-452.6] 然后被打下来
[452.9-455.6] 然后再多头再尝试上攻
[455.6-457.0] 然后在这里又遇到阻力了
[457.0-459.0] 然后这样逐渐的
[459.9-461.3] 上面是有一个
[461.3-465.3] 上面是有一个水平的一个压力线
[465.3-471.3] 然后低点会逐渐的上移
[471.3-473.3] 慢慢向上走
[473.3-476.3] 形成一个上升三小型
[476.3-478.3] 你的趋势也很容易看出来
[478.3-480.3] 它是向上
[480.3-487.3] 那么它属于上掌趋势的一个中途
[487.3-491.5] 就是它属于上涨的上涨光中会形成一个
[491.5-492.8] 形成一个上涨
[492.8-495.5] 涂中的一个点形形态
[495.5-498.0] 那多方力量其实是逐渐增强的
[498.0-500.3] 因为它这个低点是逐渐抬高的
[500.3-503.1] 所以说多方力量是逐渐增强的
[503.1-505.8] 那未来向上涂破的概率极高
[505.8-508.6] 也是一个强势的一个整理信号
[508.6-509.9] 就是它未来的
[509.9-511.5] 因为它是从底下向
[511.5-513.1] 从底下涨上来的
[513.1-515.2] 那未来大概率
[515.2-516.9] 其实它是会向上涂破
[516.9-517.9] 向上突破
[517.9-520.7] 突破掉前面的壓力
[520.7-525.3] 這個是一個點形的上升的三角形
[525.3-527.9] 還有第三種就是下降三角形
[527.9-534.1] 下降三角形和上升三角形剛好相反
[534.1-536.1] 它是高點逐步向下移
[536.1-539.2] 然後低點的話是保持一個水平
[539.2-541.7] 形成一個固定的支撐
[541.7-543.8] 但是它是下跌趨勢中的一個中土
[543.8-545.6] 然後空方力量是逐漸增強的
[545.6-549.7] 那我还画一下,这个是从上面跌下来的
[549.7-552.1] 跌下来之后,然后这边有一支撑
[552.1-557.0] 就是这边有人去买入了,买入之后然后反弹,行动反弹
[557.0-559.9] 但是不太强,慢慢又跌下来了
[559.9-564.3] 然后再反弹,就是它一个多头越来越弱,但是空头越来强的
[564.3-567.9] 然后再回到这里,这个逐渐,逐渐向下手脸
[567.9-572.6] 这边形成一个向下的趋势,这个是一个下降赞扬勤
[572.6-576.1] 那么下降赛药型未来像下突破的概率
[576.1-578.4] 像下突破的概率是比较高的
[578.4-580.7] 它属于一个弱势整理的信号
[580.7-582.6] 它不像上下降赛药型
[582.6-583.4] 像下降赛药型
[583.4-584.5] 它如果突破这里的话
[584.5-587.6] 可能会缩量不一定会放量
[587.6-590.2] 因为下低空中是缩量是比较常见
[590.2-591.5] 但是上升赛药型的话
[591.5-595.3] 这个上升赛药型
[595.3-596.9] 在突破这一点的时候
[596.9-599.9] 大多数情况下是会有放量的
[599.9-602.6] 这个是三氧性三氧形态
[606.4-607.9] 那么来看
[607.9-609.8] 来看案例
[609.8-612.8] 是对称三氧形态怎么操作
[613.3-615.9] 在突破前的话要避免马牧路场
[615.9-617.7] 因为这个方向是不明的
[617.7-622.3] 比如说这个是案例是东百集团在底部
[622.3-624.4] 当然它是一个周线
[624.4-625.6] 它是一个周线
[625.6-628.4] 周线级别的一个K线
[628.4-630.4] 但形态的话是对称三氧形态
[630.4-634.4] 那它這邊形成一個很長時間的底部之後
[634.4-636.4] 然後開始反彈 開始反彈
[636.4-640.8] 然後在這裡其實出現了比較大的分歧
[640.8-643.8] 這裡是有比較大的一個分歧的在這裡
[643.8-645.8] 成交量也是比較大
[645.8-648.8] 然後這邊有人去選擇賣出
[648.8-651.8] 那麼有人在地位的時候也會成績 也會買入
[651.8-655.8] 它主屆形成這樣的一個整理的一個態勢
[655.8-659.0] 然後在這個整理時間
[659.0-660.0] 這個整理時間比較長
[660.0-661.5] 要长啊 因为这个
[661.5-663.2] 大家可以自己去找其他的案例
[663.2-665.3] 这个整理了几个月的时间
[665.3-666.9] 然后从下面上来的
[666.9-668.2] 从这边上来的
[668.2-669.7] 整理到最后
[669.7-671.8] 其实能看到它的这个
[671.8-673.4] 成交量非常小
[673.4-674.6] 这个成交量非常小
[674.6-676.1] 有一个点形特征
[676.1-678.2] 就是到默尾的时候
[678.2-679.3] 成交量会非常小
[679.3-681.6] 而且它这个幅度也是非常小的
[681.6-683.6] 逐渐去收链
[683.6-686.6] 那么它的一个突破的特征就是
[686.6-688.4] 成交量
[688.4-689.4] 这里
[689.4-693.5] 这里成交量急剧的放大而且方向出来了
[693.5-697.0] 就是突破了区势直接的方向出来
[697.0-700.9] 那么这个是一个典型的上上三角形
[700.9-702.4] 而且它是带量的
[702.4-705.2] 一定要配合成交量去分析
[705.2-706.5] 如果说这里没有量的话
[706.5-707.5] 一个很小的量
[707.5-711.3] 那可能会是一个假的一个突破
[712.3-713.3] 那操作的话
[713.3-714.9] 比如说你在这里面
[714.9-716.6] 在这边已经开始进入震荡了
[716.6-718.8] 你发现它是一个三角形的区域
[718.8-721.8] 那你在这里可以先走掉一个 比如说风糕
[721.8-723.9] 你可以先走 比如说你这里是有多单的
[723.9-725.4] 风糕就走掉一部分
[725.4-729.0] 然后你就等到后面收脸 急剧的收脸
[729.0-730.6] 收脸到没有空间的时候
[730.6-732.9] 那么你在这里或者说你等到
[732.9-736.0] 心话明显 比较明显的一个突破心号出来
[736.0-737.4] 那么你再去介入
[737.4-739.9] 这样的话就能够省掉大部分时间的这里
[739.9-743.8] 是大家有从1月份到9月份
[743.8-745.7] 大概有半年多的一个时间
[745.7-747.8] 这个时间其实资金是空转的
[747.8-750.6] 那么其实你的这里选择突破选择上
[750.6-754.8] 上上追的话其实是能够省掉这样的一个资金成本的
[755.6-758.0] 所以这也是它的一个优势
[758.0-760.1] 突破是是上上突编界
[760.1-761.4] 然后传较量放大
[762.8-764.3] 可以进场做多
[764.3-765.8] 如果上下突破的话
[765.8-767.6] 如果也是很量量放大
[767.6-769.4] 那么可以
[769.4-771.5] 当然我们这边是不能做空的
[771.5-774.0] 但是你可以去去指引
[774.0-776.3] 或者说你这个去检倉
[776.3-780.0] 然后突破后的话 如果出现反抽
[780.0-782.8] 且可能在边界处获得之中的阻力
[782.8-784.3] 然后可以确认二次主场
[784.3-785.6] 就它这边可能会
[785.6-787.1] 当然它这里是
[787.1-788.7] 这个是没有反抽的
[788.7-791.5] 有些情况可能这边突破上去之后
[791.5-792.9] 然后回彩一下
[792.9-795.5] 回彩的位置也是一个介入点
[795.5-798.7] 这个是一个对车三脚型
[798.7-803.8] 我们看下一个
[803.8-806.0] 下一个的话就是上升三脚型
[806.0-807.4] 这一种上升三脚型
[807.4-810.3] 其实是我觉得价值会更大一点
[810.3-815.5] 因为它是一个上升的一个趋势
[815.5-817.5] 那么你把握这种趋势之后
[817.5-821.7] 其实你很容易抓到一个上涨的股票
[823.1-826.8] 那突破钱的话是可能在靠近下边界时
[826.8-828.9] 可以清藏常试做多
[828.9-830.7] 这一坨下边界
[830.7-831.6] 然后说是指损
[831.6-833.4] 就是下面这种边界
[833.4-835.7] 你可以在一旦有回打
[835.7-840.0] 这边是一个比较明显的上边界
[840.0-842.0] 然后这边是一个下边界
[842.0-845.7] 那他这边前面显然是比较不好判断
[845.7-847.7] 但是在后面这里的时候
[847.7-850.7] 其实一个上上其实已经出来了
[850.7-851.9] 然后接下来
[851.9-853.5] 记录点就是约到后面
[853.5-856.5] 到后面打到下面这种边界的时候
[856.5-859.8] 这个区域其实是可以尝试去做多的
[859.8-863.9] 包括到这里都是可以尝试去做多的
[863.9-866.9] 而且这种相对来说它是处于一个低位的
[866.9-872.3] 你在找的过程中你要找这种低位的股票
[872.3-873.1] 不要太高
[873.1-874.4] 不要已经长了很多了
[874.4-875.3] 然后去那种形态
[875.3-878.9] 那也是有可能会有这种假的突破
[878.9-880.3] 或者是假的形态出来
[880.3-881.1] 那么在低位
[881.1-883.7] 你看这个是上海护工是吧
[884.3-887.1] 它就是在一个比较低的位置形成了这样一个区域
[887.1-888.7] 一个上升三角形怒
[888.7-889.7] 一个形态
[889.7-890.5] 这种形怒出来
[890.5-894.0] 后面也是急剧的放量
[894.0-897.5] 也是一个是前面几倍的一个成就量
[897.5-898.6] 急剧的放量
[898.6-899.8] 然后向上突破
[899.8-901.1] 向上突破一标明显
[901.1-903.5] 然后形成一个上脑趋势
[903.5-906.3] 这个是一个点形的案例
[906.3-907.9] 这种案例非常多
[909.7-911.6] 然后目标的话是突破上脑空间
[911.6-913.6] 通常有三脑形成前几形成涨幅
[913.6-914.3] 相当
[914.3-915.3] 也就是涨幅
[915.3-916.6] 大概是这样
[917.3-918.2] 应该是这样子
[918.2-919.5] 然后再向上
[919.5-924.8] 在向上 跟它整理形態的空間是類似的
[924.8-929.7] 它長複 當然它的長複要更高一些 這個是這個案例
[929.7-937.4] 接下來我們看一個 這個是我們操作過的一個案例
[937.4-939.9] 一個案例分析 這樣可能大家更持關一些
[939.9-946.2] 這個是立軍股份 然後所屬的板塊是商業航天滿塊
[946.2-952.2] 入池的時間是5月7號 就是25年的一個5月7號在這裡
[952.2-965.2] 技术面的指标的话,当时的一个参照就是它是处于一个总体位置,当时山洋行李已经有所动作,整个板块已经是有启动既想,
[965.2-977.2] 但是它在里面是一个比较低位置的,而且它是经过一波沙殿,它这边是前七是整理,整理形态,这边应该是有很多的吃蒼的,
[977.2-980.4] 说明大家其实认可他的,这里已经指跌了
[980.4-983.0] 那这边是一个最后的一波沙丁
[983.0-987.1] 就当然他是借一些消息去沙丁
[988.2-990.0] 那他是有一定安静编辑的
[990.0-992.0] 因为他前面已经整理过了
[992.0-993.8] 然后再次创新低
[993.8-995.7] 其实他的重码就更低了
[995.7-997.8] 价格更划算一些
[997.8-1000.8] 然后在这里,这里是群球道的冰枝充
[1000.8-1002.2] 然后成球量逐渐放大
[1002.2-1004.0] 前面是比较小的比较冷淡的
[1004.0-1005.8] 后面成球量的逐渐放大
[1005.8-1008.1] 然后出现了比较明显的放量
[1008.1-1012.4] 就是它这边后面这里已经有过放量了
[1012.4-1014.5] 其实就已经开始这里
[1014.5-1016.0] 开始有资金在关注了
[1016.3-1018.9] 那后面又开始整理了一下
[1018.9-1019.7] 反弹到高位
[1019.7-1021.1] 高位的整理了一下
[1023.8-1026.8] 然后形态上面是出现了一个小的上升
[1026.8-1027.5] 上升小区
[1027.5-1029.6] 当然这个不像刚才那个那么大
[1029.6-1030.5] 刚才那有几个月
[1030.5-1033.4] 这个的话就是大概一个月的时间
[1033.4-1034.4] 出现一个
[1034.7-1035.6] 这边是一个上颜
[1035.6-1036.6] 这里是一个上颜
[1036.6-1037.7] 很明显的一个上颜
[1037.7-1041.5] 也是在前面一个套牢区域 套牢区域的
[1041.5-1043.7] 这里是有压力 然后是一个上盐
[1043.7-1047.7] 然后下面的低点 主机在向上
[1047.7-1049.5] 看到没主机在向上
[1049.5-1052.5] 然后逐渐收脸 成交量塑小
[1054.1-1056.7] 成交量塑小 股价上升
[1056.7-1060.1] 然后在这边 这边已经没有什么空间了
[1060.1-1064.7] 然后我们的一个操作的钱应该是这一天
[1064.7-1067.3] 成交量 明显比前面放大了
[1067.3-1071.9] 那么这边进行借入 进行一个推荐
[1071.9-1075.1] 那么后面连续的连续涨庭
[1075.1-1076.9] 因为前面的一个图教量
[1078.1-1080.1] 一个池塒非常集中了已经
[1080.1-1082.5] 它是有很大的一个动量的
[1082.8-1086.7] 一旦向上突破它的空间是比较大的
[1086.7-1091.7] 这个也是我们实际分析过的一个案例
[1093.9-1094.8] 上升三角形
[1094.8-1097.4] 那么看下降三角形
[1097.4-1128.8] 现在正在讲,在突破前的话,它是靠近下边界,这个是北方国际,它是有一个很明显的下延,这个下延形成时间是有5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
[1128.8-1131.7] 操作的就是這種反彈的高點
[1131.7-1135.1] 高位的時候其實可以逐漸的清艙可以去
[1135.1-1137.1] 當然我們是不可以做空的
[1137.1-1140.3] 就是可以去如果你有一個股票的話
[1140.3-1142.2] 那前面這裡可能沒有指引
[1142.2-1144.5] 然後後面反彈的這種刺高點
[1144.5-1145.8] 你可以去做指引
[1145.8-1149.5] 這個是然後突破的時候突破下面界
[1149.5-1151.2] 存在率沒放大
[1151.2-1152.8] 我們看這個也沒放大
[1152.8-1154.2] 這個其實也是有所放大的
[1154.2-1157.0] 這裡這裡也是有所放大的
[1157.0-1158.5] 它是突破了
[1158.5-1160.6] 上面的時間非常長
[1160.6-1161.5] 量程也比較多
[1161.5-1163.5] 這個套牢盤肯定是非常多的
[1164.6-1165.5] 向下突破
[1165.5-1166.9] 向下突破給那個是有直捲的
[1166.9-1168.5] 而且它是反抽了一箱
[1168.5-1170.2] 它箱子來說還給了一次
[1170.2-1171.9] 給了一次逃跑的機會
[1171.9-1172.8] 它這邊已經突破
[1172.8-1176.3] 這間其實已經是突破下延了
[1176.3-1179.9] 連續三個角色一日在這個直撐線以下
[1179.9-1181.0] 在下延以下
[1181.0-1183.5] 就證明這個三角形已經向下突破了
[1183.5-1184.4] 因為現在破掉了
[1184.4-1186.2] 那麼它又給了反抽機會
[1186.2-1192.4] 那这里就是一个很好的一个逃跑的一个点位
[1192.4-1194.2] 一个实点在这里
[1194.2-1195.9] 当然重点量也是放大的
[1195.9-1197.2] 也是有所放大的
[1197.2-1200.9] 当然不既然有些时候是阴跌跌下来
[1200.9-1204.0] 也是有这种可能性的
[1204.0-1206.0] 那这是一个下降的三小学
[1206.0-1212.9] 推荐用法的话
[1212.9-1216.8] 就推荐用法刚才也是讲了一些推荐用法
[1216.8-1219.1] 最好是标准好压力
[1219.1-1221.2] 压力和支撑之后
[1221.2-1223.7] 就是它这边选择是个压力 一个压力
[1223.7-1226.8] 那么支撑的话你可以去选择
[1226.8-1229.4] 就是我们之前说的一些均线的支撑
[1229.4-1231.9] 或者其他的一些支撑位
[1231.9-1234.9] 然后去尝试做组特交易
[1234.9-1236.0] 那比如说这里
[1236.0-1239.4] 它显然是在250均线的位置
[1239.4-1241.4] 250均线的位置
[1241.4-1243.0] 均线是有支撑作用的
[1243.0-1245.5] 这个我们之前讲过
[1245.5-1247.6] 你在均线 而且均线的一个动态支撑
[1247.6-1249.3] 它是一个向上的一个支撑
[1249.3-1250.5] 你可以在均线的位置
[1250.5-1252.3] 可以去尝试去做多
[1252.3-1253.6] 小仓位去做多
[1253.6-1255.9] 然后后面这种趋势起来
[1255.9-1257.4] 那么
[1257.7-1259.5] 趋势起来也可以做右侧
[1259.5-1260.3] 做右侧
[1260.3-1261.4] 这边量放大
[1261.4-1262.1] 趋势起来
[1262.1-1265.4] 可以做右侧交易直接去追进去一些是可以的
[1266.9-1269.2] 卖出的话跟这个买入是
[1269.2-1270.3] 刚好想反的
[1270.3-1271.5] 那么就不坠数了
[1276.8-1278.8] 这个是刚才的这个
[1285.2-1287.3] 注意事项的话
[1287.3-1289.8] 避免假突破
[1289.8-1292.3] 即影线穿刺的话
[1292.3-1293.5] 不一定是有效突破
[1293.5-1295.1] 一定是实体收盘
[1295.1-1296.7] 在日线这是日线
[1296.7-1300.1] 一定是实体收盘占稳了
[1300.1-1302.1] 至少有1到3个交易日
[1302.1-1304.1] 而且最好是有存交量配合
[1304.1-1306.9] 上升的一定要有存交量的配合
[1306.9-1307.9] 如果下降的话
[1307.9-1309.1] 如果下跌的一个
[1309.1-1311.3] 可能会存交量不一定会放大
[1311.3-1312.9] 这个大家去识别
[1312.9-1315.3] 另外警惕形态得失败
[1315.3-1317.6] 如果时间过长的话
[1317.6-1321.2] 就可能会突破时成交量会
[1321.2-1323.2] 成交量未放大
[1323.2-1324.7] 可能会导致形态的失效
[1324.7-1326.5] 导致整体策略的失效
[1326.5-1330.3] 这个大家去应用的时候可以去自己总结一下
[1331.3-1332.7] 结合大趋势
[1332.7-1335.2] 三角形作为中级形态 概率更高
[1335.2-1337.9] 就是你要知道如果说这个趋势是相上的
[1337.9-1341.2] 或者说你对这个公司是比较有信心的
[1341.2-1344.0] 那么它另外出现了一个上升趋势
[1344.0-1345.6] 那么它的概率就分高一点
[1345.6-1347.7] 那如果你觉得它基本面不好
[1347.7-1348.8] 基本上很差
[1348.8-1350.2] 业绩是亏损的
[1350.2-1352.4] 它出现了一个上升的一个趋势
[1352.4-1354.7] 那可能这种就会有互相矛盾
[1354.7-1356.3] 成功率就不一定特别高
[1356.3-1359.1] 这个可以去参考其他的一些指标
[1359.1-1360.5] 尤其是基本面的
[1360.5-1362.6] 然后避免逆施操作
[1362.6-1364.5] 因为指标不是100%的
[1364.5-1367.5] 这个是注意的一些东西
[1367.5-1371.8] 那接下来我们看另外一种中级形态
[1371.8-1373.0] 也是不是要常见的
[1373.0-1376.6] 就是这个举行的一个形态
[1376.6-1378.2] 就是举行很好理解
[1378.2-1380.8] 就是一个盘种区域
[1380.8-1384.1] 一个长方形的一盘种区域
[1384.1-1386.6] 这种也是比较常见
[1386.6-1390.0] 当然它比三角形我觉得要少一些
[1390.0-1391.7] 三角形的形态更常见一点
[1391.7-1393.7] 这种举行也有
[1393.7-1395.0] 经常会触发
[1395.0-1396.7] 那么一会有例子给大家讲
[1398.2-1400.4] 价格的区间震荡
[1400.4-1402.9] 价格一段时间内在两条平行线之间
[1402.9-1405.3] 就是刚刚说的这个平行线之间来回波动
[1405.3-1407.7] 然后呈现有规律的一个震荡的态势
[1408.5-1410.5] 多方在价格胡锣一定承诺时
[1410.5-1411.9] 就是多方在这里
[1413.0-1413.8] 价格胡锣到这里
[1413.8-1415.0] 多方回去买入
[1415.9-1418.3] 形成向下的下方的支撑
[1418.6-1420.4] 然后空方反弹这里
[1420.4-1422.1] 空方在这里又开始卖出
[1422.1-1423.0] 就是刚好是
[1423.4-1424.9] 独工双方力量比较均衡
[1425.5-1426.8] 构成上方的阻力
[1427.2-1428.0] 传较量的变化
[1428.0-1429.0] 在形成共同中
[1429.0-1429.8] 传较量往往
[1429.8-1431.6] 再一定范围成这个地剪
[1431.6-1434.6] 它也是最开始的时候会比较大的成交量
[1434.6-1438.3] 后面会后面随着这样震荡会逐渐地减小
[1438.3-1441.2] 那价格最终突破边界史
[1441.2-1442.6] 然后也会办随放量
[1442.6-1444.1] 最后如果向上突破了
[1444.1-1446.6] 这里还是会有成交量的那一放大
[1446.6-1449.6] 当下降的话这种也还是不一定
[1449.6-1451.1] 有的时候会放量有的时候不一定
[1451.1-1453.1] 这个要去识别
[1453.1-1456.1] 但上升的话一定是要成交量的变化的
[1456.1-1459.1] 市场含义的话是多空力量均衡
[1459.1-1472.9] 就在整个区域里多,多方也没法进攻,然后空方也没办法杂下来,就是多功力量比较均衡,比较均衡,他不像上三小形,上三小形的话,那选择多方力量逐渐往高台,多方力量更强一些
[1474.4-1487.9] 然后双方的各自的心理价位上进行博弈,将之不下,然后使得价格无法上转或达复下跌,维持暂时的一个平衡,直到某一方力量占据上风打破将绝,然后就等
[1487.9-1490.9] 等到可能板块有移动了
[1490.9-1493.9] 可能有盘面有移动
[1493.9-1496.9] 指数有移动或者说公司的行业有移动
[1496.9-1499.9] 然后在最终决定
[1499.9-1502.9] 最终在某一吃点进行一个决战吧
[1502.9-1505.9] 这个是举行
[1505.9-1507.9] 我们看案例
[1507.9-1511.9] 举行的分两种一种是上升举行
[1511.9-1512.9] 一种是下降举行
[1512.9-1514.9] 那现在上升举行
[1514.9-1515.9] 也不要好理解
[1515.9-1518.7] 就是他一个上升的在上升过程中
[1518.7-1520.7] 这个是新衣圣
[1521.7-1522.7] 在上升区势中
[1522.7-1524.1] 他是一种中继形态
[1524.1-1526.3] 于是的后世的行情延续前期
[1526.3-1528.5] 上昂走势的概率是比较大的
[1528.9-1531.7] 然后上升举行整理手的高低点
[1531.7-1532.9] 基本处于同一平面
[1532.9-1534.3] 就是他整理形态
[1534.3-1536.7] 高点和低点是处于同一平面的
[1538.3-1539.7] 一般情况下
[1541.3-1543.3] 处理三次选择向上突破
[1543.3-1546.1] 而且整理的时间越长 上脑的概率是越大了
[1546.1-1549.7] 就是说明乘接是比较长 乘接的比较好
[1550.4-1554.2] 它整理时间也是比较长的在这里
[1554.2-1556.4] 上升之后没有很快的
[1556.4-1558.6] 当然有一定抛牙 但是是有乘接的
