# file=04.mp4
# language=zh prob=1
[9.5-11.5] 大家好,我是王老师
[379.9-383.9] 压力限是和支撑是刚好是想反的
[383.9-385.9] 它是阻止价格继续上涨
[385.9-387.9] 就是你这个涨到一定程度之后
[387.9-389.9] 大家觉得这里
[389.9-391.9] 比如说所有线开始走平了
[391.9-393.9] 开始走平了在这里
[393.9-394.9] 开始出现分析了
[394.9-396.9] 那么我也愿意在这里
[396.9-398.9] 比如说我这里有吃藏
[398.9-399.9] 然后在这里出现分析了
[399.9-403.4] 那我也在这里去走掉一部分形成一个共识
[404.7-407.1] 高位的卖盘机中有货力了解的
[407.1-410.0] 比如说有这个套牢盘解套的这个套牢盘解套
[410.0-411.1] 还是经常出现的
[411.1-414.2] 就是尤其是在双顶形成共产中
[414.2-416.1] 经常会出现套牢盘解套
[416.1-418.1] 解套的话就会有比较大的一个抛扬
[418.8-419.9] 然后另外还有机构检倉
[420.7-422.6] 然后卖方量是大于买方力量的
[424.0-425.9] 战革触局后通常出现战革回落
[425.9-427.0] 团队让可能放达
[427.0-429.9] 这个的话有的时候会放大有的时候不一定
[429.9-431.6] 有的时候有阴滴
[433.1-435.3] 然后有水平压力有局限压力
[435.3-438.8] 我们今天讲就是水平压力和区势线的压力
[438.8-440.3] 两种压力的形态
[451.4-455.7] 这个是水平支撑的压力
[455.7-458.6] 这个是采工丝式的遥望科技
[460.0-461.4] 大家mcm机构
[461.4-463.3] 它是水平支撑的话
[463.3-465.1] 是技术分析中最直观
[465.1-467.2] 也最有效的一个指损参考工具
[467.4-467.9] 这个
[468.3-472.8] 然后为所有入场交易的资金提供了清晰的一个风险编辨记
[472.8-475.5] 避免的下帝共争无限的
[475.5-476.5] 形成无限虚损
[476.5-477.5] 就是你在这里
[479.0-479.6] 这里啊
[479.6-481.1] 我说你去找的话
[481.1-484.4] 一定要找特别有有标志性意义的
[484.4-485.7] 标志性意义的一些一些
[485.7-486.2] 一些些限
[486.2-487.1] 比如说一个低点
[487.1-488.3] 一段时间的一个低点
[488.3-490.3] 那这里是10月份啊
[490.3-491.0] 10月份
[493.2-494.3] 这里是8月份
[494.3-495.8] 然后整个在下帝共争中
[495.8-496.9] 这里形成一个低点
[497.1-497.9] 在10月份
[497.9-501.5] 之后就开始反弹 这边显然是有资金入场的
[501.5-505.2] 但是这个成交量有有所方大 不是那么强
[506.5-509.1] 然后反弹反弹到这里 反弹到这里
[509.1-511.3] 然后再一次划落 再一次划落
[511.3-513.7] 但是这里显然是有资金入场
[513.7-515.5] 就是在这个价格的时候
[515.5-517.3] 是愿意去买入的
[517.3-518.9] 那第二次再来到这里
[518.9-521.1] 他再来 再来到这里的时候
[521.1-523.1] 那么资金就愿意去
[523.1-525.5] 愿意去买入 就是形成这样的支撑
[525.5-527.3] 也有找這種關鍵的點位
[527.3-530.4] 找這種關鍵的下降空中的反彈的地方
[530.4-531.5] 或者上檔過程中
[531.5-533.8] 上檔過程中它形成脈壓的地方
[533.8-534.8] 比如這裡
[534.8-535.8] 你上檔到這裡
[535.8-537.0] 這裡顯然是有脈壓
[537.0-538.8] 這裡
[538.8-539.8] 這裡形成一個脈壓
[539.8-541.9] 那麼下次在這裡的時候
[541.9-544.1] 是不是又形成了一個壓力
[544.1-546.4] 就是這邊是支撐
[546.4-547.4] 支撐
[547.4-548.8] 那它這邊形成壓力之後
[548.8-550.3] 然後繼續向下
[550.3-553.1] 向下再再打這個區域之後
[553.1-554.5] 又形成支撐
[554.5-556.1] 他会练续的起了作用
[556.1-557.3] 就是大家心里价位
[557.7-561.6] 从基本面分析或者从其他的方案去分析
[561.9-564.5] 大家在这里其实愿意入场的
[564.5-565.1] 在这个价格
[565.1-566.7] 大家觉得这个价格是比较合适的
[567.1-568.5] 所以说就形成了一个支撑
[568.7-572.3] 那么它是抓拐点的一个工具
[572.9-573.7] 抓拐点工具
[573.7-575.5] 因为说你前面
[577.5-578.5] 这次出积了
[578.5-579.5] 出积之后
[580.1-580.9] 直接
[581.3-582.5] 直接就买入
[582.5-583.3] 买入的话
[583.5-584.5] 设置好直损
[584.5-585.7] 设置好直损
[585.7-589.3] 那可能1%或者3%这个自己去看
[589.3-590.8] 然后你在设计一个指引
[590.8-591.8] 那指引可能
[591.8-592.8] 你给我3%的话
[592.8-594.4] 让你指引至少是66%以上
[594.4-597.6] 就是你增加这样的一个收益率
[599.6-601.8] 那这个是一个点形的支撑
[601.8-603.8] 而且是多次起到一个支撑作用
[603.8-604.8] 在这里
[604.8-606.0] 这里又出发一次
[606.0-607.5] 又起到一个支撑作用
[608.3-609.4] 这是支撑
[610.2-611.4] 可以参照支撑线
[611.4-613.0] 是为一个比较明确的一个指损
[613.0-614.4] 就是可以参照这个支撑线
[614.4-616.0] 往下一点一定的比例
[616.0-618.0] 可以试着一个比较明确的一支损
[618.0-620.2] 不像其他的指标
[620.2-622.6] 有些支损点可能会比较模糊
[622.6-624.9] 这个是支撑
[624.9-630.4] 那么来看这个压力
[630.4-631.8] 水平压力的一个压力
[631.8-634.2] 这个是当股价从低点反弹
[634.2-635.4] 这压力位的话
[635.4-637.2] 反弹压力位附近时
[637.2-639.1] 然后该位置是有掏牢盘的
[639.1-641.9] 就掏牢丑马会选择解套
[641.9-643.1] 那这里比较明显的
[643.1-648.7] 在这里 大家看 这个成条量是比较大的这里
[648.7-650.8] 这里高位的成条量是比较大的
[650.8-653.4] 说明这里换手是比较平凡
[653.4-656.8] 然后有人走掉了 有人在这里接盘了
[656.8-660.3] 那这里我跌下来是不是这里就套住了是不是
[660.3-662.1] 这里有套牢盘
[663.1-665.3] 那么如果说 再一次
[666.9-669.7] 短线的护力盘也会在这里指引
[669.7-671.5] 然后形成集中的一个慢压
[671.5-674.8] 如果没有足够多核自应程接的话
[675.4-677.0] 股价大概来回落这里
[677.4-679.0] 虽整个的
[679.4-681.2] 出掉之后没有太多程接
[682.0-683.5] 然后股价回落
[683.5-684.8] 那回落的话是
[685.3-687.1] 压力线有效性
[687.1-688.1] 以及触及次数
[688.1-690.0] 跟能量是相关的
[690.0-691.5] 那我们来看它这个
[692.0-693.8] 回落刚好是回落到这个
[693.8-694.8] 均线的位置
[694.8-696.1] 回落的均线的位置
[696.1-700.9] 这先讲过在日线上60军线和20军线都是有比较强的支撑的
[700.9-705.0] 那么在60军线20军线这里已经有卫一次有效支撑
[705.0-709.4] 这里是大概21左右反弹到2423
[709.4-711.2] 这里是有一次有效支撑
[711.2-713.7] 这里是有这个支撑的
[713.7-715.5] 那这里就像还有支撑
[715.5-718.4] 上面是显然是一个比较明显的压力是个套牢盘
[718.4-720.1] 套牢盘在这里
[720.1-724.2] 那么之类形成支撑之后继续的继续上涨
[724.2-726.5] 那再次回到這個位置
[726.5-728.0] 那這裡是有套牢盤的
[728.0-730.0] 那在這裡剛好在這裡解套了
[730.0-732.9] 解套它就直接在這裡賣出掉
[732.9-736.8] 賣出掉就形成了一個向下的一個拋壓
[736.8-739.1] 所以它這個壓力就形成了
[739.1-741.1] 比如說在這種關鍵的位置
[741.1-744.3] 會關鍵的高點的位置
[744.3-746.3] 幾個月兩三個月的一個高點
[746.3-748.3] 或者兩三個月的一個低點
[748.3-749.8] 那大家都要標注一下
[749.8-752.3] 它就是一個比較明顯的一個支撐
[752.3-757.3] 并且明显压力,这个是三基护余
[757.3-762.3] 古家刺出越多,说明这个组立越强
[762.3-764.3] 这里也是有刺激
[764.3-769.3] 另外,它这个形态还可以多说一嘴
[769.3-772.3] 它这边形成一个压力,也是比较明显的
[772.3-777.3] 它的低点,沿着这个均线慢慢的向上
[777.3-780.5] 这个就是一个咱们这些说的
[780.5-783.1] 就比较明显上升的三角形
[783.1-785.1] 一个上升的一个趋势其实
[785.1-786.2] 一个中纪形态
[786.2-788.0] 但这里是有压力的
[788.0-789.8] 你说这里走掉的话
[789.8-793.2] 首先你可以吃到一定的一个利润
[793.2-796.7] 另外你也能够节省一定的资金时间成本
[796.7-798.8] 大概有一个多月
[798.8-805.4] 这个是压力的一个作用
[805.4-807.1] 那么另外一种就是
[807.1-810.2] 有的时候这个支撑线会变成压力线
[810.2-812.6] 它是有一次会转换
[812.6-816.6] 原来是一个比较强的一个支撑
[816.6-818.2] 这里是一个比较强的支撑
[818.2-819.6] 那股下一旦打下来
[819.6-821.4] 可能某个动量打下来
[821.4-822.8] 在回到这里的时候
[822.8-824.0] 这里就会变成家里
[824.0-826.6] 因为这里也是有套牢盘
[826.6-827.9] 也是有套牢盘
[827.9-829.8] 那么有人在这儿超底
[829.8-831.0] 那么被打下来被套住了
[831.0-832.2] 然后再回到这里
[832.2-834.1] 就是会在这里会解套
[834.1-835.6] 形成一个卖压
[836.6-838.0] 刷条件的话是
[838.0-839.6] 价格低会原来支撑线
[839.6-841.4] 如水平智商或者均线智商
[841.6-844.4] 而且连续三个交易日在手盘的
[844.7-847.0] 在智商现在下方
[847.2-850.1] 逻辑的话就原来的买方比如超级资金
[850.3-851.1] 被套牢了
[851.3-853.6] 继续反弹到该位置的时候
[853.9-855.9] 这部分资金会选择解套
[856.2-857.0] 解套理场
[857.2-860.0] 形成新的卖盘压力就是它原来是买方
[860.3-860.8] 现在
[861.1-862.9] 把套之后它就变成卖方了
[863.6-865.7] 然后导致智商转换为压力
[865.9-866.4] 这个是
[866.4-872.4] 我们来看一下这个例子,这个是中国中面
[872.4-879.4] 在21年之后整体趋势,整体宏丸缓件事变差了
[879.4-884.4] 这里显然是一个有效之称
[884.4-889.0] 在这里,那有些资金是超底了
[889.0-892.0] 有些资金超底,这边也有一定的放量
[892.0-895.0] 有资金超底了,但显然还没有到,没有到底
[895.0-896.3] 有些资金超进去之后
[896.8-899.4] 这边有位反弹 反弹位置也不高
[899.9-901.1] 然后这边连续的
[901.4-903.0] 连续几根可以限直接下跌
[903.2-905.2] 而且这个是放量下跌 这里是放量下跌
[905.5-906.8] 跌破了这样的支撑
[907.0-909.4] 然后这个支撑 你在反弹到这里的时候
[909.6-911.1] 因为这里套了很多人 是吧
[911.6-912.7] 在反弹到这里
[912.9-914.0] 那么它就变成
[914.2-916.5] 压力了 这边就有人解套 解套的话
[917.3-919.3] 多方的解套 那就是卖 某人卖
[919.6-921.1] 这边就形成一个卖压
[925.0-926.6] 这里就形成卖压
[926.6-929.0] 这里也形成卖呀 连续的两次
[929.0-931.1] 两次在这个位置形成卖呀
[931.1-933.6] 那么如果说交易的话
[933.6-935.3] 如果说我们应用到交易里面
[935.3-936.2] 用到实战里面
[936.2-939.6] 那么在这里 比如说你这里尝试了超底
[939.6-943.0] 然后这里突破了 突破支撑了
[943.0-944.5] 突破支撑在这里
[944.5-947.9] 回彩的时候 你也要在这里去把它卖掉
[947.9-950.8] 就有效突破 然后也要卖掉在这里
[950.8-952.3] 或者说反正到这里
[952.3-954.8] 或者说你这里下面超底了
[954.8-957.8] 反正上面这个压力线
[957.8-959.5] 这里也要指引
[959.5-964.0] 这个是支撑变成压力了
[964.0-965.5] 这个支撑变成压力之后
[965.5-967.0] 连续的多年
[967.0-970.1] 连续两年都是有很强的一个压力作用
[970.1-973.8] 这个是21年形成的一个支撑
[973.8-976.8] 之后在整个的
[977.5-980.4] 22年 这边是有压力作用
[980.4-982.8] 然后这个也是22年8月份
[982.8-984.1] 也还是有压力作用
[984.1-985.7] 然后帮扣到23年
[986.7-989.7] 还是在这里有比较强的一个压制作用
[989.7-993.1] 所以这种线是很关键的
[993.8-994.7] 一旦找对
[994.7-996.6] 也是对交易上也是
[997.4-999.0] 比较有作用
[999.2-1001.5] 看之后这里如果走掉的话
[1001.8-1004.2] 直接是跌了50%到下面
[1004.4-1006.6] 这个是直车变压力
[1011.6-1013.2] 另外一种就是压力变成直车
[1013.2-1014.5] 它原来是个压力线
[1014.5-1016.3] 一个是一个压力线
[1016.3-1018.9] 那么在这里有人卖
[1018.9-1020.9] 那么反弹之后
[1020.9-1022.0] 这边就突破了
[1022.0-1022.8] 突破上去
[1022.8-1025.4] 这边也会有比较大点的方量
[1025.4-1027.7] 这个未来在回来的这里的时候
[1027.7-1029.7] 就会变成一个支撑线
[1029.7-1030.7] 变成一个支撑
[1030.7-1032.1] 这就是压力变成支撑
[1032.1-1033.4] 出发条件的话就是
[1033.4-1035.3] 这样说突破原来的压力线
[1035.3-1037.1] 如水平的或者军线压力
[1037.1-1039.5] 连续三个交易日在手盘
[1039.5-1041.1] 手盘的压力的上方
[1041.1-1043.8] 而且是半随成交量的方大
[1043.8-1044.8] 像上的话
[1044.8-1046.8] 大多数都要半岁成千万的放大
[1047.1-1049.8] 说明压力位被有效突破
[1050.0-1052.5] 卖房的整个房县在崩溃
[1053.3-1056.2] 逻辑的话就原来压力位的卖房
[1056.2-1058.6] 如果获利了解来或者说解套自己理场了
[1058.6-1061.8] 当后续价格重新回到高位置的时候
[1062.6-1064.3] 新的买房会认为
[1065.8-1068.8] 突破后回条就是一个买入的机会
[1069.0-1071.8] 然后形成一个新的一个买盘支撑
[1071.8-1074.3] 然后导致压力位转号移支撑位
[1074.3-1076.6] 这个是压力变支撑
[1076.6-1077.8] 我们就来看这个例子
[1077.8-1081.9] 这个是压力变支撑的一个案例
[1081.9-1083.7] 这个是三层湖域
[1083.7-1084.9] 刚才我们分析的
[1084.9-1086.9] 那这里
[1086.9-1089.7] 大家找就是找近期的一个高点
[1089.7-1091.1] 找近期的一个高点
[1091.1-1093.5] 那显然这个区域份这里
[1093.5-1094.5] 这里形成一个高点
[1094.5-1095.9] 在这里形成一个高点
[1095.9-1097.5] 之后回落
[1097.5-1098.7] 这里显然是有压力的
[1098.7-1099.7] 有压力
[1099.7-1102.7] 之后是经过两个月的时间的一个盘整
[1102.7-1105.0] 两个月时间排成这个量能是比较大
[1105.0-1108.0] 两个月两个月底是比较扎实的
[1108.0-1109.3] 它突破的时候
[1109.3-1111.6] 你能看到这边一个压力
[1111.6-1114.4] 它直接是开带了整个压力线的上方
[1114.4-1115.7] 它规避掉
[1115.7-1118.2] 像上冲这样的一个动作
[1118.2-1120.4] 因为这里可能会再次被打下来
[1120.4-1121.6] 那么开盘的时候
[1121.6-1124.1] 直接开在上面 开在上面
[1124.1-1125.1] 而且是放量
[1125.1-1127.8] 这边是一个比较明显的一个放量
[1127.8-1129.7] 然后支撑
[1129.7-1131.6] 支撑在回来的时候
[1131.6-1133.4] 这个压力就变成一个直升
[1133.4-1135.9] 之后就慢慢的上去了
[1135.9-1140.2] 这个就是一个第一次的一个压力变直升
[1140.2-1141.9] 那这里也出现过
[1141.9-1144.5] 第二次也是一个压力变直升
[1144.5-1146.1] 这个上刚分析过
[1146.1-1148.7] 它其实是一个上升三小形
[1148.7-1151.0] 就是我们在第四节课的时候
[1151.0-1153.9] 讲过的一个比较典型的一个上升三小形
[1153.9-1154.9] 逐渐收链
[1154.9-1157.2] 逐渐的交易量在变小
[1157.2-1158.9] 突破的时候交易量变大
[1158.9-1159.6] 那这里
[1159.6-1161.4] 这边都没有回彩
[1161.4-1163.3] 直接就是上上突破了
[1163.3-1165.2] 这个是有点形的
[1165.2-1166.4] 如果未来回到这里的话
[1166.4-1168.4] 还是会有一定的支撑作用
[1168.4-1170.6] 这个是比较点形的一个
[1170.6-1172.1] 压力变支撑的一个案例
[1172.1-1177.4] 接下来有效突破
[1177.4-1178.3] 我们看有效突破
[1178.3-1179.4] 就是有的时候
[1179.4-1183.0] 因为刚说到支撑线和压力线
[1183.0-1184.5] 它的有效性有的时候
[1184.5-1189.1] 会受到短时间消息波动的影响
[1189.1-1192.5] 就是那么你什么时候判断它是有效的
[1192.5-1194.3] 有效破壤去了
[1194.3-1195.3] 有效的
[1195.3-1196.3] 那么
[1196.3-1197.9] 价格的突破关键位
[1197.9-1199.9] 压力位之后
[1199.9-1200.7] 突破的成交量
[1200.7-1201.5] 反显着方大
[1201.5-1202.7] 如果有成交量配合
[1202.7-1204.7] 那这个成功的概率比较高
[1206.3-1207.7] 说明有这个资金
[1207.7-1208.7] 有资金的关注
[1209.7-1210.7] 1.5倍
[1210.7-1212.3] 就是之前成交量的1.5倍
[1212.3-1213.7] 当这个
[1213.7-1214.7] 是一个大概的
[1214.7-1215.9] 是或者是一个基础出去
[1215.9-1216.7] 有的时候会
[1216.7-1217.7] 可能有两倍三倍的
[1217.7-1219.7] 这样的一个增加
[1219.7-1220.7] 说明
[1220.7-1224.0] 说明资金是主力有资金主动推动
[1224.0-1225.1] 不是假突破
[1226.5-1228.0] 如果突破后连续三个角落
[1228.0-1230.0] 在收盘的一个压力位上方
[1230.0-1232.1] 那就证明它不是一日游
[1232.9-1234.2] 另外结合量能
[1234.2-1236.1] 量能才是量价才是关键
[1236.1-1237.2] 结合量能
[1237.2-1239.2] 成交量是严重支撑压力有效
[1239.2-1241.0] 强度的一个核心指标
[1241.0-1242.8] 如果无量的突破或者反弹的话
[1242.8-1246.3] 可能就是一个假的突破
[1246.3-1249.2] 这个是有效的突破
[1249.2-1254.5] 那么来看,这是一个有效突破这里
[1254.5-1256.5] 这个压力是比较强的
[1256.5-1260.5] 这边是形成一个形成一定压力在这里
[1260.5-1261.5] 起到一定作用
[1261.5-1263.5] 但是因为时间是比较长了
[1263.5-1264.5] 先比较长
[1264.5-1266.5] 然后这边也是击据了一定的能量
[1266.5-1269.5] 这个是长沸光线
[1269.5-1271.5] 那它突破的时候
[1271.5-1272.5] 来看有效突破
[1272.5-1274.5] 你看它存掉量
[1274.5-1277.5] 原来在这里直接翻倍了
[1277.5-1278.5] 这些是两倍
[1278.5-1281.4] 那么这种突破就是一个有效的突破
[1281.4-1283.4] 如果说你做右侧交易的话
[1283.4-1284.5] 这种位置
[1284.5-1287.6] 这种位置就可以去追一些
[1287.6-1292.4] 或者可以去小倡位去尝试的去追一些
[1292.4-1293.5] 当然没有回条
[1293.5-1294.1] 如果有回条的话
[1294.1-1296.9] 这里回条的位置也是一个买入的机会
[1296.9-1303.8] 这个是一个有效突破的家里
[1303.8-1305.5] 那接下来我们分析另外一种
[1305.5-1307.6] 就是趋势件
[1307.6-1310.0] 我们刚刚分析的是水平的支程和压力
[1310.0-1313.8] 那還有一種是上升的一個
[1313.8-1314.8] 上升的一個曲子線
[1314.8-1316.2] 或者一個下降的一個曲子線
[1316.2-1317.2] 有這兩種
[1319.8-1320.9] 上升的曲子線
[1320.9-1322.5] 它定義就是連接股價
[1322.5-1323.5] 連接上的公中圈
[1323.5-1325.7] 兩個或多個回調的低點
[1325.7-1326.7] 然後形成
[1327.6-1330.2] 向右上方的一個清潔的一個指線
[1330.2-1332.2] 這個其實和這個
[1332.7-1336.7] 均線的動態之聲有點相似的
[1336.7-1337.5] 有點類似
[1337.5-1339.1] 核心作用的話是
[1339.5-1340.7] 反而多頭主導的
[1340.7-1344.6] 上升趨勢每次回調到股價回彩趨勢
[1344.6-1347.1] 然後買盤力量大概率介入
[1347.1-1348.7] 然後支撐股價上行
[1349.9-1350.8] 而言論標準的話
[1350.8-1352.2] 至少有兩個有效低點
[1352.2-1353.2] 兩個有效低點
[1353.2-1354.4] 然後確認一個連線
[1354.7-1356.3] 然後在第三次的時候
[1356.3-1357.0] 是回彩
[1357.0-1358.3] 但不破掉
[1358.3-1359.4] 不破這個趨勢線
[1360.0-1361.6] 然後並且反彈
[1361.6-1363.5] 也就是證明他趨勢有效的
[1364.4-1365.5] 然後低點越多
[1366.4-1368.3] 清協的這個協率平緩
[1368.3-1369.8] 支撐的力度就越強
[1369.8-1373.2] 接下来我们看阿利
[1373.2-1376.0] 这个是杭利一样在走趋势
[1376.0-1376.9] 这种趋势
[1376.9-1381.7] 依试我们可以用军线来用军线
[1381.7-1383.2] 你看二十军线这里
[1383.2-1385.4] 二十军线连续的有效
[1385.4-1387.3] 但有些时候不是那么标准
[1387.3-1389.1] 像六十军线它就在这里
[1389.1-1391.9] 它就没有办法形成这双
[1391.9-1394.3] 触及的时候可能这个趋势已经变掉了
[1394.3-1397.4] 就失去了这样一个交易机会
[1397.4-1408.6] 那麽看趨勢,它是一個向上趨勢,連接對兩個點,在這裡連接,就形成一向上的趨勢,向上趨勢
[1408.6-1420.2] 趨勢線它不像水平和水平壓力和製充這麽準確,它是一個範圍,它是一個比較寬敷的範圍,它只要在範圍之內,那都是有效的
[1420.2-1429.2] 它也是在範圍之內,然後到這裡,第三次到這裡的時候,就形成了一個壓力,然後製充了也是
[1429.2-1432.3] 这里连接这两点 连接这两点
[1432.3-1435.7] 向上这边触碰一次 这边又触碰一次
[1435.7-1439.4] 这是像上了一个趋势线 一个趋势带
[1439.4-1442.8] 你可以不做交易 就在这种位置 你可以不做交易
[1442.8-1447.6] 但是你应该看到之后 你应该知道它还处于一个上升趋势
[1447.6-1451.0] 就是你若持有这个持续的压功速比较的话
[1451.0-1454.6] 那么在这里 趋势线一直在向上没有破掉
[1454.6-1457.0] 那么你就不要着急地去走掉
[1457.0-1459.0] 什么时候走呢?就是在这种位置
[1459.0-1461.0] 这种位置已经
[1461.0-1463.0] 很明显的趋势被打破了
[1463.0-1464.0] 趋势被打破了
[1464.0-1469.0] 在这种位置是一个比较好的离场的位置
[1469.0-1471.0] 这就是伤生趋势
[1471.0-1475.4] 下跌趋势呢
[1475.4-1478.4] 也是一样的和伤生趋势
[1478.4-1480.4] 说方向相反
[1480.4-1484.4] 降过这种连续两个或多个反弹的高点
